fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-12-31,USD,14993600000,2876900000,358000000,358000000,873700000,804800000,13457300000,6316700000,None,5345100000,1695600000,3649500000,None,None,704600000,80700000,546700000,7820800000,1445600000,385000000,10500000,716900000,699100000,6684500000,182100000,5040000000,699100000,4340900000,5040000000,135100000,762300000,7170500000,None,3719400000,600000,62100000
2021-12-31,USD,14393000000,2025600000,258400000,258400000,752600000,790800000,13611600000,6338000000,4032000000,5624400000,2130000000,3494400000,None,None,None,137900000,426400000,7855400000,752600000,356200000,7800000,13400000,900000,7445700000,191100000,5100000000,0,5100800000,5100900000,142000000,673800000,6535300000,None,3161900000,600000,62400000
2020-12-31,USD,10580800000,1668300000,207300000,207300000,709000000,587400000,9500300000,5242300000,3712700000,3430000000,1016000000,2414000000,None,None,None,70000000,295200000,4687500000,499300000,207800000,14000000,3300000,48600000,4367200000,21200000,2630000000,None,2625800000,2625800000,96300000,370500000,5890700000,None,2607700000,600000,62300000
2019-12-31,USD,10131600000,1426700000,21000000,21000000,690800000,590600000,9210000000,5206000000,3427500000,3370400000,973600000,2396800000,None,None,None,141200000,133400000,4778300000,838500000,229600000,7800000,395500000,340000000,3367000000,5900000,2770000000,340000000,2433600000,2770000000,115900000,339300000,5350800000,None,2077200000,600000,62400000
2018-12-31,USD,9551400000,1365800000,44900000,44892000,663000000,538289000,8686885000,5157200000,3137700000,3401682000,1002564000,2399100000,None,None,None,134600000,128000000,4602000000,786700000,210800000,6743000,393291000,481000,3871143000,7630000,3120000000,390000000,2730400000,3120481000,70900000,379300000,4946400000,None,1693300000,600000,62515000
