fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-12-31,USD,10506000000,15670000000,5164000000,7985000000,2624000000,3069000000,27000000,13046000000,20000000,-852000000,99000000,852000000,15636000000,-115000000,None,2056000000,2158000000,498000000,852000000,1600000000,1677000000,3010000000,5066000000,1660000000
2021-12-31,USD,8313000000,13676000000,5363000000,6008000000,2826000000,2845000000,25000000,10850000000,-420000000,-905000000,891000000,905000000,13509000000,-161000000,None,2032000000,1536000000,190000000,905000000,1193000000,1376000000,2441000000,4473000000,1346000000
2020-12-31,USD,7365000000,12246000000,4881000000,5097000000,2654000000,2592000000,24000000,9592000000,-214000000,-1019000000,795000000,1019000000,11969000000,-227000000,None,1920000000,1191000000,90000000,1019000000,1144000000,1095000000,2210000000,4130000000,1101000000
2019-12-31,USD,8402000000,12574000000,4172000000,5808000000,2676000000,2453000000,24000000,9898000000,96000000,-991000000,779000000,991000000,12117000000,-104000000,None,1684000000,1639000000,296000000,991000000,1440000000,1340000000,2630000000,4314000000,1343000000
2018-12-31,USD,8579000000,12337000000,3758000000,6100000000,2664000000,2280000000,24000000,9804000000,119000000,-829000000,-10000000,819000000,11920000000,-210000000,None,1438000000,1783000000,401000000,819000000,1382000000,1392000000,2602000000,4040000000,1382000000
