fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-12-31,USD,4812200000,9597400000,4785200000,4358900000,1924200000,288500000,None,2279800000,None,-515100000,320400000,515100000,66200000,128800000,None,6000000,1732200000,322900000,515100000,1409700000,1404500000,1924200000,2253300000,1409300000
2021-12-31,USD,4745100000,8316000000,3570900000,3311000000,1714900000,226000000,None,2341100000,None,-471100000,313000000,471100000,-36300000,133200000,None,8100000,1501800000,200300000,507400000,1298500000,1303900000,1714900000,1981000000,1301500000
2020-12-31,USD,4692700000,7241700000,2549000000,2319500000,1706100000,243700000,None,2405800000,None,-493700000,317900000,493700000,-38400000,79500000,None,6300000,1429000000,227900000,532100000,1201400000,1197200000,1706100000,1929000000,1201100000
2019-12-31,USD,4601500000,7523100000,2921600000,2678800000,1531400000,252000000,None,2463800000,None,-501500000,352700000,501500000,0,102200000,None,4900000,1260200000,125000000,501500000,1134700000,1132500000,1531400000,1766600000,1135200000
2018-12-31,USD,4534900000,7679500000,3144600000,2897900000,1468400000,244700000,None,2543200000,None,-445100000,308400000,445100000,0,70300000,None,845800000,1230300000,169800000,445100000,1060500000,1053800000,1468400000,2521200000,1060500000
