fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-12-31,USD,3617111000,5644657000,2027546000,783153000,2372718000,177278000,None,1244393000,None,-94203000,425316000,94203000,2666080000,535246000,None,1002146000,670701000,None,97520000,1503687000,508142000,2372718000,3374864000,521660000
2021-12-31,USD,2553162000,4201939000,1648777000,623555000,1527940000,151461000,None,1025222000,None,-142165000,129567000,142165000,2262742000,None,None,821061000,654282000,None,209418000,1799672000,570578000,1527940000,2349001000,571247000
2020-12-31,USD,2159669000,3569438000,1409769000,530224000,1280124000,133341000,None,879545000,None,-171609000,257860000,171609000,1886620000,-52520000,None,698104000,827171000,None,232277000,1709593000,774083000,1280124000,1978228000,770959000
2019-12-31,USD,2138766000,2806701000,667935000,445492000,1473031000,108823000,None,665735000,None,-173675000,31108000,173675000,1516884000,47570000,None,544612000,404047000,None,221245000,1677814000,363851000,1473031000,2017643000,363165000
2018-12-31,USD,631594000,1205971000,574377000,381120000,57217000,90405000,None,574377000,None,-157495000,23249000,157495000,1363466000,1122000,None,477661000,402793000,None,158617000,237961000,368624000,57217000,534878000,379312000
