fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,24502000000,7082000000,269524000000,8024450244,0.883,0.026,0.076,-0.079,-0.054
2022-06-30,22688000000,6247000000,269118000000,8035221887,0.777,0.023,0.057,-0.323,-0.285
2022-03-31,23228000000,7067000000,266617000000,8062102236,0.877,0.027,0.018,-0.122,-0.065
2021-12-31,22060000000,7013000000,270066000000,8077831463,0.868,0.026,0.098,0.282,0.373
2021-09-30,22766000000,7691000000,272464000000,8241243911,0.933,0.028,0.119,0.576,0.656
2021-06-30,21466000000,9224000000,277119000000,8487151465,1.087,0.033,-0.039,1.611,1.665
2021-03-31,22821000000,8050000000,274000000000,8589731470,0.937,0.029,0.002,1.007,1.028
2020-12-31,20099000000,5470000000,272924000000,8650814105,0.632,0.02,-0.101,-0.218,-0.201
2020-09-30,20336000000,4881000000,268850000000,8661522562,0.564,0.018,-0.108,-0.155,-0.114
2020-06-30,22326000000,3533000000,265637000000,8664081625,0.408,0.013,-0.033,-0.519,-0.482
2020-03-31,22767000000,4010000000,264918000000,8675487435,0.462,0.015,,,
2019-12-31,22349000000,6994000000,264810000000,8836148954,0.792,0.026,,,
2019-09-30,22807000000,5777000000,268387000000,9079264535,0.636,0.022,,,
2019-06-30,23084000000,7348000000,271408000000,9342601750,0.787,0.027,,,
2021-12-31,89113000000,31978000000,270066000000,8077831463,3.959,0.118,0.042,0.787,0.914
2020-12-31,85528000000,17894000000,272924000000,8650814105,2.068,0.066,-0.063,-0.348,-0.334
2019-12-31,91244000000,27430000000,264810000000,8836148954,3.104,0.104,0.002,-0.025,0.066
2018-12-31,91020000000,28147000000,265325000000,9669286370,2.911,0.106,,,
