fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,765000000,101200000,1824500000,386200000,0.262,0.055,0.225,0.159,-0.709
2022-06-30,691500000,50900000,2255900000,392600000,0.13,0.023,0.213,-0.351,-0.84
2022-03-31,624400000,97300000,2189300000,98100000,0.992,0.044,0.3,0.722,0.698
2021-12-31,659400000,-19400000,2042100000,97000000,-0.2,-0.01,0.239,-1.055,-1.054
2021-09-30,624300000,87300000,1912000000,96900000,0.901,0.046,0.312,0.209,0.198
2021-06-30,569900000,78400000,1754700000,96700000,0.811,0.045,0.337,0.693,0.671
2021-03-31,480200000,56500000,1644800000,96700000,0.584,0.034,0.232,1.839,1.71
2020-12-31,532100000,355200000,1551900000,96100000,3.696,0.229,0.15,2.832,2.652
2020-09-30,476000000,72200000,1499300000,96000000,0.752,0.048,0.249,0.576,0.503
2020-06-30,426100000,46300000,1353900000,95400000,0.485,0.034,0.326,5.41,5.215
2020-03-31,389700000,19900000,934500000,92300000,0.216,0.021,,,
2019-12-31,462800000,92700000,882600000,91600000,1.012,0.105,,,
2019-09-30,381200000,45800000,764300000,91500000,0.501,0.06,,,
2019-06-30,321400000,-10500000,688300000,91200000,-0.115,-0.015,,,
2021-12-31,2333800000,154700000,2042100000,97000000,1.595,0.076,0.281,-0.687,-0.689
2020-12-31,1822500000,493600000,1551900000,96100000,5.136,0.318,0.305,3.882,3.654
2019-12-31,1396800000,101100000,882600000,91600000,1.104,0.115,0.333,1.795,1.782
2018-12-31,1047600000,-127100000,663300000,90000000,-1.412,-0.192,,,
