fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,13693000000,695000000,4590000000,638000000,1.089,0.151,0.582,-0.427,-0.427
2022-06-30,13514000000,735000000,3811000000,638000000,1.152,0.193,0.991,0.127,0.126
2022-03-31,9049000000,-940000000,2991000000,637000000,-1.476,-0.314,1.388,0.201,0.203
2021-12-31,9152000000,-408000000,3887000000,636000000,-0.642,-0.105,1.537,0.46,0.46
2021-09-30,8657000000,1212000000,2606000000,637000000,1.903,0.465,2.124,1.225,1.225
2021-06-30,6788000000,652000000,1281000000,637000000,1.024,0.509,4.328,1.114,1.114
2021-03-31,3789000000,-1177000000,482000000,636000000,-1.851,-2.442,-0.555,-1.204,-1.208
2020-12-31,3608000000,-755000000,1534000000,636000000,-1.187,-0.492,-0.685,-1.687,-1.693
2020-09-30,2771000000,-5379000000,3357000000,635000000,-8.471,-1.602,-0.778,-4.598,-4.66
2020-06-30,1274000000,-5717000000,8690000000,635000000,-9.003,-0.658,-0.898,-4.962,-5.055
2020-03-31,8513000000,-534000000,14309000000,637000000,-0.838,-0.037,,,
2019-12-31,11439000000,1099000000,15358000000,642000000,1.712,0.072,,,
2019-09-30,12490000000,1495000000,15068000000,646000000,2.314,0.099,,,
2019-06-30,12461000000,1443000000,13958000000,650000000,2.22,0.103,,,
2021-12-31,28301000000,280000000,3887000000,636000000,0.44,0.072,0.751,1.023,1.023
2020-12-31,16166000000,-12385000000,1534000000,636000000,-19.473,-8.074,-0.654,-3.598,-3.623
2019-12-31,46706000000,4767000000,15358000000,642000000,7.425,0.31,0.051,0.211,0.281
2018-12-31,44438000000,3935000000,13687000000,679000000,5.795,0.287,,,
