fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,12250000000,572000000,12191000000,325623082,1.757,0.047,-0.035,-0.675,-0.667
2022-06-30,14838000000,1644000000,12230000000,327244650,5.024,0.134,0.283,-0.202,-0.184
2022-03-31,13157000000,1320000000,12698000000,327644034,4.029,0.104,0.449,0.234,0.259
2021-12-31,12830000000,726000000,11858000000,329536389,2.203,0.061,0.616,-0.151,-0.139
2021-09-30,12700000000,1762000000,11800000000,333627352,5.281,0.149,0.874,14.456,14.47
2021-06-30,11561000000,2059000000,10524000000,334503518,6.155,0.196,1.085,5.557,5.544
2021-03-31,9082000000,1070000000,8800000000,334313140,3.201,0.122,0.212,6.431,6.417
2020-12-31,7937000000,855000000,7971000000,334015220,2.56,0.107,-0.03,0.397,0.395
2020-09-30,6776000000,114000000,7306000000,333918359,0.341,0.016,-0.223,-0.882,-0.882
2020-06-30,5546000000,314000000,7358000000,333829804,0.941,0.043,-0.387,-0.687,-0.653
2020-03-31,7494000000,144000000,7324000000,333703450,0.432,0.02,,,
2019-12-31,8179000000,612000000,8044000000,333476883,1.835,0.076,,,
2019-09-30,8722000000,965000000,7888000000,333407876,2.894,0.122,,,
2019-06-30,9048000000,1003000000,10721000000,370387374,2.708,0.094,,,
2021-12-31,46173000000,5617000000,11858000000,329536389,17.045,0.474,0.664,2.936,2.99
2020-12-31,27753000000,1427000000,7971000000,334015220,4.272,0.179,-0.201,-0.58,-0.581
2019-12-31,34727000000,3397000000,8044000000,333476883,10.187,0.422,-0.11,-0.276,-0.184
2018-12-31,39004000000,4690000000,10257000000,375696661,12.483,0.457,,,
