fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,22270000000,395000000,25076000000,787340553,0.502,0.016,0.317,-0.751,-0.733
2022-06-30,15556000000,132000000,37101000000,797580831,0.166,0.004,-0.16,-0.961,-0.958
2022-03-31,15756000000,669000000,53965000000,814805526,0.821,0.012,0.012,0.869,1.014
2021-12-31,20089000000,1205000000,67482000000,825540267,1.46,0.018,0.035,6.627,7.249
2021-09-30,16905000000,1584000000,69050000000,844531818,1.876,0.023,0.056,1.244,1.406
2021-06-30,18524000000,3407000000,69138000000,861057466,3.957,0.049,0.314,22.497,23.767
2021-03-31,15562000000,358000000,65864000000,878312175,0.408,0.005,-0.15,-0.919,-0.916
2020-12-31,19418000000,158000000,74558000000,892910600,0.177,0.002,0.133,-0.734,-0.727
2020-09-30,16015000000,706000000,73316000000,905571829,0.78,0.01,-0.143,-0.677,-0.672
2020-06-30,14099000000,145000000,75693000000,907620740,0.16,0.002,-0.194,-0.917,-0.914
2020-03-31,18310000000,4398000000,70221000000,907568876,4.846,0.063,,,
2019-12-31,17143000000,593000000,66144000000,915338098,0.648,0.009,,,
2019-09-30,18678000000,2184000000,68368000000,919601779,2.375,0.032,,,
2019-06-30,17497000000,1741000000,63811000000,935921796,1.86,0.027,,,
2021-12-31,71080000000,6554000000,67482000000,825540267,7.939,0.097,0.048,0.212,0.311
2020-12-31,67842000000,5407000000,74558000000,892910600,6.055,0.073,-0.026,-0.083,-0.06
2019-12-31,69620000000,5899000000,66144000000,915338098,6.445,0.089,0.025,0.151,0.206
2018-12-31,67941000000,5123000000,52741000000,958613542,5.344,0.097,,,
