fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,8619000000,3859000000,14080000000,552742915,6.982,0.274,-0.036,1.691,1.806
2022-06-30,8702000000,78000000,13742000000,569603928,0.137,0.006,-0.028,-0.949,-0.948
2022-03-31,8829000000,1299000000,14930000000,569058849,2.283,0.087,-0.002,-0.2,-0.185
2021-12-31,8612000000,1339000000,15046000000,571845478,2.342,0.089,0.003,-0.036,-0.026
2021-09-30,8942000000,1434000000,14460000000,576252803,2.488,0.099,0.071,0.003,0.004
2021-06-30,8950000000,1524000000,14448000000,578638253,2.634,0.105,0.247,0.167,0.162
2021-03-31,8851000000,1624000000,13760000000,579675002,2.802,0.118,0.096,0.242,0.232
2020-12-31,8583000000,1389000000,12867000000,577749638,2.404,0.108,0.058,0.433,0.427
2020-09-30,8350000000,1430000000,11880000000,576821878,2.479,0.12,0.045,-0.097,-0.097
2020-06-30,7176000000,1306000000,10857000000,576019442,2.267,0.12,-0.122,0.159,0.162
2020-03-31,8075000000,1308000000,10147000000,575196371,2.274,0.129,,,
2019-12-31,8111000000,969000000,10063000000,575184835,1.685,0.096,,,
2019-09-30,7991000000,1583000000,10702000000,576500000,2.746,0.148,,,
2019-06-30,8171000000,1127000000,10083000000,577700000,1.951,0.112,,,
2021-12-31,35355000000,5921000000,15046000000,571845478,10.354,0.394,0.099,0.087,0.098
2020-12-31,32184000000,5449000000,12867000000,577749638,9.431,0.423,0.001,0.206,0.201
2019-12-31,32136000000,4517000000,10063000000,575184835,7.853,0.449,-0.019,-0.156,-0.154
2018-12-31,32765000000,5349000000,9796000000,576575168,9.277,0.546,,,
