fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,913700000,114600000,791300000,87844572,1.305,0.145,0.274,-0.201,-0.185
2022-06-30,773100000,115100000,776900000,87836213,1.31,0.148,0.035,-0.03,-0.009
2022-03-31,723600000,93000000,741600000,87801145,1.059,0.125,0.042,-0.139,-0.117
2021-12-31,662200000,112800000,759100000,88215625,1.279,0.149,-0.02,0.209,0.25
2021-09-30,717000000,143500000,864200000,89695508,1.6,0.166,-0.016,-0.023,0.005
2021-06-30,746900000,118700000,784000000,89765421,1.322,0.151,0.267,0.611,0.655
2021-03-31,694300000,108000000,727700000,90048623,1.199,0.148,0.029,269.0,275.506
2020-12-31,675500000,93300000,829400000,91212741,1.023,0.112,0.074,0.156,0.175
2020-09-30,728400000,146900000,824300000,92250392,1.592,0.178,-0.027,0.116,0.129
2020-06-30,589500000,73700000,677500000,92233032,0.799,0.109,-0.194,-0.326,-0.314
2020-03-31,674700000,400000,611300000,92218314,0.004,0.001,,,
2019-12-31,628900000,80700000,757400000,92723682,0.87,0.107,,,
2019-09-30,748300000,131600000,685000000,93300000,1.411,0.192,,,
2019-06-30,731200000,109300000,660500000,93800000,1.165,0.165,,,
2021-12-31,2820400000,483000000,759100000,88215625,5.475,0.636,0.057,0.537,0.589
2020-12-31,2668100000,314300000,829400000,91212741,3.446,0.379,-0.034,-0.218,-0.205
2019-12-31,2763400000,401800000,757400000,92723682,4.333,0.53,0.032,-0.076,-0.056
2018-12-31,2678400000,434900000,651000000,94700000,4.592,0.668,,,
