fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,824000000,178700000,2802800000,75400000,2.37,0.064,0.157,0.545,0.557
2022-06-30,796100000,138200000,2788200000,75800000,1.823,0.05,0.16,0.352,0.355
2022-03-31,751100000,140000000,2899000000,76100000,1.84,0.048,0.152,0.242,0.239
2021-12-31,714798000,118755000,2803100000,76129000,1.56,0.042,0.163,0.175,0.17
2021-09-30,712000000,115700000,2726245000,76010000,1.522,0.042,0.225,0.114,0.104
2021-06-30,686000000,102200000,2672796000,75968000,1.345,0.038,0.222,0.442,0.427
2021-03-31,652000000,112700000,2609926000,75892000,1.485,0.043,0.097,0.105,0.103
2020-12-31,614822000,101068000,2540200000,75817000,1.333,0.04,0.015,0.044,0.043
2020-09-30,581113000,103848000,2396529000,75352000,1.378,0.043,-0.069,-0.013,-0.008
2020-06-30,561249000,70864000,2261037000,75171000,0.943,0.031,-0.126,-0.374,-0.372
2020-03-31,594462000,101998000,2229787000,75740000,1.347,0.046,,,
2019-12-31,605997000,96850000,2263229000,75779000,1.278,0.043,,,
2019-09-30,624246000,105194000,2163053000,75698000,1.39,0.049,,,
2019-06-30,642099000,113209000,2112041000,75460000,1.5,0.054,,,
2021-12-31,2764800000,449400000,2803100000,76129000,5.903,0.16,0.176,0.19,0.185
2020-12-31,2351600000,377800000,2540200000,75817000,4.983,0.149,-0.057,-0.112,-0.113
2019-12-31,2494600000,425500000,2263229000,75779000,5.615,0.188,0.004,0.036,0.041
2018-12-31,2483666000,410573000,1994640000,76128000,5.393,0.206,,,
