,Date,OBV
0,2017-01-05,46.540000915527344
1,2017-01-10,48.09999847412109
2,2017-01-12,48.52000045776367
3,2017-01-17,48.31999969482422
4,2017-01-26,48.16999816894531
5,2017-01-30,47.66999816894531
6,2017-02-02,48.900001525878906
7,2017-02-06,49.27000045776367
8,2017-02-10,50.36000061035156
9,2017-02-14,50.38999938964844
10,2017-02-16,50.84000015258789
11,2017-02-21,51.34999847412109
12,2017-02-27,51.65999984741211
13,2017-03-02,51.380001068115234
14,2017-03-06,51.25
15,2017-03-14,52.209999084472656
16,2017-03-16,53.04999923706055
17,2017-03-20,53.150001525878906
18,2017-03-24,53.08000183105469
19,2017-03-29,53.119998931884766
20,2017-03-31,52.869998931884766
21,2017-04-04,52.619998931884766
22,2017-04-07,52.84000015258789
23,2017-04-12,52.54999923706055
24,2017-04-18,53.02999877929688
25,2017-04-28,55.04999923706055
26,2017-05-05,56.63999938964844
27,2017-05-10,56.27000045776367
28,2017-05-17,55.77000045776367
29,2017-05-22,56.08000183105469
30,2017-05-31,60.34000015258789
31,2017-06-05,60.400001525878906
32,2017-06-08,60.150001525878906
33,2017-06-15,59.209999084472656
34,2017-06-20,60.33000183105469
35,2017-06-23,59.77000045776367
36,2017-06-29,58.79999923706055
37,2017-07-03,59.130001068115234
38,2017-07-06,59.220001220703125
39,2017-07-11,59.79999923706055
40,2017-07-18,61.209999084472656
41,2017-07-20,60.97999954223633
42,2017-07-25,60.540000915527344
43,2017-07-31,59.790000915527344
44,2017-08-04,60.130001068115234
45,2017-08-08,60.13999938964844
46,2017-08-15,59.380001068115234
47,2017-08-17,60.86000061035156
48,2017-08-23,62.77000045776367
49,2017-09-01,64.37999725341797
50,2017-09-08,65.0199966430664
51,2017-09-13,65.44000244140625
52,2017-09-20,66.08999633789062
53,2017-09-28,63.97999954223633
54,2017-10-05,65.69999694824219
55,2017-10-13,66.98999786376953
56,2017-10-23,67.0199966430664
57,2017-10-30,67.48999786376953
58,2017-11-01,68.0199966430664
59,2017-11-06,68.22000122070312
60,2017-11-08,68.11000061035156
61,2017-11-15,67.30999755859375
62,2017-11-21,69.91000366210938
63,2017-11-27,69.30999755859375
64,2017-11-29,68.69000244140625
65,2017-12-01,68.69000244140625
66,2017-12-11,67.0
67,2017-12-13,66.68000030517578
68,2017-12-20,67.4000015258789
69,2017-12-22,67.3499984741211
70,2017-12-29,66.97000122070312
71,2018-01-04,68.80000305175781
72,2018-01-10,70.79000091552734
73,2018-01-16,71.2300033569336
74,2018-01-23,73.44000244140625
75,2018-01-29,74.52999877929688
76,2018-02-01,72.83000183105469
77,2018-02-07,68.05999755859375
78,2018-02-13,68.33999633789062
79,2018-02-16,71.97000122070312
80,2018-02-22,70.68000030517578
81,2018-02-26,70.58000183105469
82,2018-03-12,70.70999908447266
83,2018-03-16,69.9000015258789
84,2018-03-21,69.4000015258789
85,2018-03-27,67.0
86,2018-04-02,64.43000030517578
87,2018-04-06,63.650001525878906
88,2018-04-11,66.08000183105469
89,2018-04-19,67.97000122070312
90,2018-04-24,66.63999938964844
91,2018-04-27,66.27999877929688
92,2018-05-02,65.91000366210938
93,2018-05-08,67.37000274658203
94,2018-05-14,69.20999908447266
95,2018-05-22,64.83999633789062
96,2018-05-31,61.91999816894531
97,2018-06-13,66.26000213623047
98,2018-06-15,66.12999725341797
