,date,close,high,low,open,volumefrom,volumeto,candlestick_pattern,candlestick_match_count
0,2017-01-03,46.4900016784668,46.75,45.7400016784668,45.93000030517578,,1739600,NO_PATTERN,0.0
1,2017-01-04,47.09999847412109,47.380001068115234,46.81999969482422,46.93000030517578,1739600.0,1821300,NO_PATTERN,0.0
2,2017-01-05,46.540000915527344,47.06999969482422,46.36000061035156,47.04999923706055,1821300.0,1503700,NO_PATTERN,0.0
3,2017-01-06,47.9900016784668,48.06999969482422,46.560001373291016,46.630001068115234,1503700.0,2883400,NO_PATTERN,0.0
4,2017-01-09,48.13999938964844,48.560001373291016,47.90999984741211,48.0099983215332,2883400.0,2575300,NO_PATTERN,0.0
5,2017-01-10,48.09999847412109,48.540000915527344,47.81999969482422,48.34000015258789,2575300.0,1560500,NO_PATTERN,0.0
6,2017-01-11,49.25,49.47999954223633,47.95000076293945,48.02999877929688,1560500.0,5624300,CDLENGULFING_Bull,1.0
7,2017-01-12,48.52000045776367,48.900001525878906,47.97999954223633,48.900001525878906,5624300.0,3276900,NO_PATTERN,0.0
8,2017-01-13,48.68999862670898,48.84999847412109,48.40999984741211,48.59999847412109,3276900.0,1568500,NO_PATTERN,0.0
9,2017-01-17,48.31999969482422,48.720001220703125,48.18000030517578,48.369998931884766,1568500.0,1938800,CDLHIKKAKE_Bull,1.0
10,2017-01-18,48.25,48.72999954223633,48.0,48.66999816894531,1938800.0,1523500,NO_PATTERN,0.0
11,2017-01-19,47.63999938964844,48.09000015258789,47.5099983215332,48.040000915527344,1523500.0,1346100,CDLSHORTLINE_Bear,1.0
12,2017-01-20,47.619998931884766,47.93000030517578,47.40999984741211,47.83000183105469,1346100.0,1701700,CDLMATCHINGLOW_Bull,1.0
13,2017-01-23,47.38999938964844,47.83000183105469,47.22999954223633,47.59999847412109,1701700.0,2013900,NO_PATTERN,0.0
14,2017-01-24,47.34999847412109,48.209999084472656,47.04999923706055,47.77000045776367,2013900.0,2741900,NO_PATTERN,0.0
15,2017-01-25,48.40999984741211,48.41999816894531,47.40999984741211,47.59999847412109,2741900.0,3073200,CDLCLOSINGMARUBOZU_Bull,2.0
16,2017-01-26,48.16999816894531,48.43000030517578,47.91999816894531,48.41999816894531,3073200.0,1895400,NO_PATTERN,0.0
17,2017-01-27,48.650001525878906,48.83000183105469,48.29999923706055,48.31999969482422,1895400.0,1527800,CDLBELTHOLD_Bull,2.0
18,2017-01-30,47.66999816894531,48.54999923706055,47.38999938964844,48.47999954223633,1527800.0,2266500,NO_PATTERN,0.0
19,2017-01-31,48.970001220703125,49.150001525878906,48.0099983215332,48.040000915527344,2266500.0,2552600,CDLBELTHOLD_Bull,1.0
20,2017-02-01,49.2599983215332,49.810001373291016,48.68000030517578,48.93000030517578,2552600.0,2244600,NO_PATTERN,0.0
21,2017-02-02,48.900001525878906,49.0,48.470001220703125,48.880001068115234,2244600.0,1352200,CDLRICKSHAWMAN_Bull,5.0
22,2017-02-03,49.380001068115234,49.470001220703125,49.060001373291016,49.09000015258789,1352200.0,1191800,CDLSHORTLINE_Bull,1.0
23,2017-02-06,49.27000045776367,49.380001068115234,48.959999084472656,49.130001068115234,1191800.0,952100,CDLGAPSIDESIDEWHITE_Bull,2.0
24,2017-02-07,49.63999938964844,49.77999877929688,49.2599983215332,49.41999816894531,952100.0,2170700,CDLSHORTLINE_Bull,1.0
25,2017-02-08,49.93000030517578,50.02999877929688,49.22999954223633,49.369998931884766,2170700.0,2107100,CDLLONGLINE_Bull,1.0
26,2017-02-09,50.470001220703125,50.79999923706055,49.93000030517578,49.93000030517578,2107100.0,2557700,CDLBELTHOLD_Bull,1.0
27,2017-02-10,50.36000061035156,50.59000015258789,50.02000045776367,50.5099983215332,2557700.0,2092500,NO_PATTERN,0.0
28,2017-02-13,50.52000045776367,50.88999938964844,50.41999816894531,50.630001068115234,2092500.0,1568300,CDLHIKKAKE_Bear,1.0
29,2017-02-14,50.38999938964844,50.68000030517578,50.09000015258789,50.2400016784668,1568300.0,3546900,CDLSPINNINGTOP_Bull,1.0
30,2017-02-15,51.619998931884766,51.84000015258789,50.619998931884766,51.13999938964844,3546900.0,5724500,NO_PATTERN,0.0
31,2017-02-16,50.84000015258789,51.68000030517578,50.560001373291016,51.68000030517578,5724500.0,2550400,CDLBELTHOLD_Bear,2.0
32,2017-02-17,51.630001068115234,51.63999938964844,50.58000183105469,50.650001525878906,2550400.0,2195500,CDLCLOSINGMARUBOZU_Bull,2.0
33,2017-02-21,51.34999847412109,51.79999923706055,51.16999816894531,51.65999984741211,2195500.0,2037000,CDLHIKKAKE_Bear,1.0
34,2017-02-22,51.34000015258789,51.720001220703125,51.18999862670898,51.310001373291016,2037000.0,1632400,CDLRICKSHAWMAN_Bull,5.0
35,2017-02-23,51.470001220703125,51.59999847412109,51.20000076293945,51.43999862670898,1632400.0,1006900,CDLRICKSHAWMAN_Bull,5.0
36,2017-02-24,51.7400016784668,51.83000183105469,51.33000183105469,51.380001068115234,1006900.0,1612700,CDLHIKKAKE_Bear,2.0
