datetime,open,high,low,close,adj_close,volume,name
1989-10-04,2.46875,2.546875,2.4375,2.5,1.7582523822784424,20636000,EOG
1989-10-05,2.515625,2.625,2.5,2.578125,1.813197374343872,6453600,EOG
1989-10-06,2.59375,2.625,2.546875,2.546875,1.7912192344665527,2755200,EOG
1989-10-09,2.546875,2.546875,2.5,2.546875,1.7912192344665527,1084000,EOG
1989-10-10,2.5625,2.5625,2.5,2.53125,1.7802292108535767,1493600,EOG
1989-10-11,2.5,2.515625,2.46875,2.515625,1.7692409753799438,1260000,EOG
1989-10-12,2.515625,2.546875,2.515625,2.53125,1.7802292108535767,602400,EOG
1989-10-13,2.53125,2.53125,2.46875,2.484375,1.7472628355026245,3970400,EOG
1989-10-16,2.375,2.46875,2.375,2.46875,1.7362737655639648,3924800,EOG
1989-10-17,2.4375,2.5,2.4375,2.5,1.7582523822784424,1843200,EOG
1989-10-18,2.5,2.5625,2.484375,2.546875,1.7912192344665527,1128000,EOG
1989-10-19,2.53125,2.546875,2.53125,2.546875,1.7912192344665527,1040000,EOG
1989-10-20,2.53125,2.53125,2.515625,2.53125,1.7802292108535767,237600,EOG
1989-10-23,2.546875,2.5625,2.546875,2.546875,1.7912192344665527,87200,EOG
1989-10-24,2.546875,2.5625,2.53125,2.5625,1.802207350730896,689600,EOG
1989-10-25,2.546875,2.578125,2.515625,2.546875,1.7912192344665527,608000,EOG
1989-10-26,2.546875,2.5625,2.546875,2.546875,1.7912192344665527,228800,EOG
1989-10-27,2.546875,2.546875,2.5,2.515625,1.7692409753799438,456000,EOG
1989-10-30,2.515625,2.515625,2.5,2.5,1.7582523822784424,250400,EOG
1989-10-31,2.5,2.515625,2.5,2.5,1.7582523822784424,424800,EOG
1989-11-01,2.515625,2.5625,2.515625,2.5625,1.802207350730896,715200,EOG
1989-11-02,2.59375,2.640625,2.59375,2.640625,1.8571542501449585,130400,EOG
1989-11-03,2.625,2.75,2.625,2.734375,1.9230889081954956,1118400,EOG
1989-11-06,2.71875,2.71875,2.578125,2.578125,1.813197374343872,264800,EOG
1989-11-07,2.546875,2.6875,2.5,2.6875,1.8901208639144897,727200,EOG
1989-11-08,2.6875,2.71875,2.671875,2.71875,1.9120993614196777,236800,EOG
1989-11-09,2.71875,2.71875,2.6875,2.6875,1.8901208639144897,60800,EOG
1989-11-10,2.6875,2.6875,2.546875,2.5625,1.802207350730896,210400,EOG
1989-11-13,2.5625,2.5625,2.515625,2.546875,1.7912192344665527,92800,EOG
1989-11-14,2.578125,2.578125,2.484375,2.53125,1.7802292108535767,428000,EOG
1989-11-15,2.546875,2.578125,2.53125,2.5625,1.802207350730896,176000,EOG
1989-11-16,2.546875,2.59375,2.546875,2.59375,1.8241870403289795,301600,EOG
1989-11-17,2.59375,2.640625,2.59375,2.640625,1.8571542501449585,249600,EOG
1989-11-20,2.65625,2.65625,2.609375,2.609375,1.8351755142211914,43200,EOG
1989-11-21,2.59375,2.671875,2.59375,2.671875,1.8791319131851196,108800,EOG
1989-11-22,2.6875,2.75,2.6875,2.75,1.934078335762024,255200,EOG
1989-11-24,2.78125,2.953125,2.78125,2.921875,2.054957151412964,572000,EOG
1989-11-27,2.90625,2.9375,2.859375,2.875,2.0219902992248535,253600,EOG
1989-11-28,2.875,2.875,2.828125,2.828125,1.989021897315979,560000,EOG
1989-11-29,2.8125,2.8125,2.78125,2.796875,1.9670441150665283,60800,EOG
1989-11-30,2.8125,2.90625,2.8125,2.890625,2.032979726791382,712800,EOG
1989-12-01,2.890625,2.953125,2.890625,2.90625,2.043968677520752,356800,EOG
1989-12-04,2.9375,2.984375,2.875,2.984375,2.09891414642334,172000,EOG
1989-12-05,2.953125,2.984375,2.90625,2.90625,2.043968677520752,93600,EOG
1989-12-06,2.90625,3.0,2.90625,2.984375,2.09891414642334,668800,EOG
1989-12-07,2.984375,2.984375,2.921875,2.953125,2.0769360065460205,215200,EOG
1989-12-08,2.921875,2.953125,2.921875,2.953125,2.0769360065460205,122400,EOG
1989-12-11,2.96875,3.03125,2.9375,3.0,2.109903573989868,306400,EOG
1989-12-12,3.015625,3.03125,2.984375,3.015625,2.120892286300659,1119200,EOG
