0,1,2
C,cup with handle,2022-12-29 00:00:00
2022-12-30 00:00:00,C,cup with handle
C,cup with handle,2023-01-03 00:00:00
cup with handle,CFG,2022-12-29 00:00:00
2022-12-30 00:00:00,cup with handle,CFG
2023-01-03 00:00:00,cup with handle,CFG
CTSH,cup with handle,2023-01-03 00:00:00
CTSH,2023-01-04 00:00:00,cup with handle
CTSH,cup with handle,2023-01-05 00:00:00
CMA,cup with handle,2022-12-29 00:00:00
CMA,2022-12-30 00:00:00,cup with handle
CMA,2023-01-03 00:00:00,cup with handle
CMA,2023-01-04 00:00:00,cup with handle
CMA,cup with handle,2023-01-05 00:00:00
CMA,cup with handle,2023-01-06 00:00:00
CMA,2023-01-09 00:00:00,cup with handle
COP,cup with handle,2022-12-23 00:00:00
COP,cup with handle,2022-12-27 00:00:00
2022-12-28 00:00:00,COP,cup with handle
COP,cup with handle,2022-12-29 00:00:00
2022-12-30 00:00:00,COP,cup with handle
COP,cup with handle,2023-01-05 00:00:00
COP,cup with handle,2023-01-06 00:00:00
2023-01-09 00:00:00,COP,cup with handle
cup with handle,2023-01-06 00:00:00,CTVA
2023-01-09 00:00:00,cup with handle,CTVA
cup with handle,COST,2023-01-06 00:00:00
cup with handle,2023-01-09 00:00:00,COST
cup with handle,CTRA,2022-12-27 00:00:00
2023-01-09 00:00:00,cup with handle,CTRA
2022-12-30 00:00:00,cup with handle,CMI
DVA,cup with handle,2022-12-12 00:00:00
DVA,2022-12-13 00:00:00,cup with handle
DVA,cup with handle,2022-12-14 00:00:00
DVA,cup with handle,2022-12-23 00:00:00
DVA,cup with handle,2022-12-27 00:00:00
DVA,2022-12-30 00:00:00,cup with handle
cup with handle,DVN,2022-12-27 00:00:00
cup with handle,DVN,2023-01-06 00:00:00
2023-01-09 00:00:00,cup with handle,DVN
2022-12-30 00:00:00,FANG,cup with handle
FANG,cup with handle,2023-01-06 00:00:00
FANG,2023-01-09 00:00:00,cup with handle
2023-01-04 00:00:00,DLR,cup with handle
cup with handle,2023-01-04 00:00:00,DFS
cup with handle,DFS,2023-01-05 00:00:00
2023-01-04 00:00:00,DISH,cup with handle
cup with handle,2023-01-04 00:00:00,DIS
cup with handle,DIS,2023-01-05 00:00:00
cup with handle,DIS,2023-01-06 00:00:00
DG,cup with handle,2022-12-23 00:00:00
DG,cup with handle,2022-12-27 00:00:00
DG,cup with handle,2022-12-29 00:00:00
2022-12-30 00:00:00,DG,cup with handle
DG,cup with handle,2023-01-03 00:00:00
DG,cup with handle,2023-01-06 00:00:00
2023-01-05 00:00:00,cup with handle,DLTR
cup with handle,DLTR,2023-01-06 00:00:00
2023-01-09 00:00:00,cup with handle,DLTR
D,cup with handle,2022-12-12 00:00:00
D,2022-12-13 00:00:00,cup with handle
D,cup with handle,2022-12-21 00:00:00
D,2022-12-22 00:00:00,cup with handle
D,cup with handle,2022-12-23 00:00:00
D,cup with handle,2022-12-27 00:00:00
2022-12-28 00:00:00,D,cup with handle
D,cup with handle,2022-12-29 00:00:00
2022-12-30 00:00:00,D,cup with handle
D,cup with handle,2023-01-05 00:00:00
2023-01-03 00:00:00,cup with handle,DXC
2023-01-05 00:00:00,cup with handle,DXC
EBAY,cup with handle,2023-01-03 00:00:00
2023-01-03 00:00:00,cup with handle,ECL
EW,cup with handle,2022-12-12 00:00:00
2022-12-13 00:00:00,EW,cup with handle
EW,cup with handle,2022-12-14 00:00:00
EW,cup with handle,2022-12-21 00:00:00
EW,cup with handle,2022-12-29 00:00:00
2022-12-30 00:00:00,EW,cup with handle
2023-01-03 00:00:00,EW,cup with handle
EA,2023-01-04 00:00:00,cup with handle
EA,cup with handle,2023-01-05 00:00:00
EA,cup with handle,2023-01-06 00:00:00
EA,2023-01-09 00:00:00,cup with handle
EOG,cup with handle,2022-12-23 00:00:00
EOG,cup with handle,2022-12-27 00:00:00
EOG,cup with handle,2022-12-29 00:00:00
2022-12-30 00:00:00,EOG,cup with handle
EOG,cup with handle,2023-01-06 00:00:00
EOG,2023-01-09 00:00:00,cup with handle
cup with handle,2022-12-12 00:00:00,ESS
2022-12-15 00:00:00,cup with handle,ESS
2022-12-29 00:00:00,cup with handle,ESS
2023-01-04 00:00:00,cup with handle,EXPE
2023-01-05 00:00:00,cup with handle,EXPE
cup with handle,EXPE,2023-01-06 00:00:00
2023-01-09 00:00:00,cup with handle,EXPE
EXR,cup with handle,2022-12-12 00:00:00
EXR,2022-12-13 00:00:00,cup with handle
XOM,cup with handle,2022-12-21 00:00:00
2022-12-28 00:00:00,XOM,cup with handle
XOM,2023-01-04 00:00:00,cup with handle
XOM,cup with handle,2023-01-05 00:00:00
XOM,2023-01-09 00:00:00,cup with handle
FRT,cup with handle,2023-01-06 00:00:00
2022-12-29 00:00:00,cup with handle,FITB
2022-12-30 00:00:00,cup with handle,FITB
2023-01-03 00:00:00,cup with handle,FITB
2023-01-04 00:00:00,cup with handle,FITB
cup with handle,2023-01-05 00:00:00,FITB
2023-01-09 00:00:00,cup with handle,FITB
FRC,cup with handle,2023-01-05 00:00:00
FIS,cup with handle,2022-12-12 00:00:00
cup with handle,FIS,2022-12-15 00:00:00
FIS,cup with handle,2022-12-16 00:00:00
2023-01-04 00:00:00,FLT,cup with handle
cup with handle,FMC,2023-01-06 00:00:00
2023-01-05 00:00:00,cup with handle,F
cup with handle,F,2023-01-06 00:00:00
2023-01-09 00:00:00,cup with handle,F
2023-01-04 00:00:00,cup with handle,FTV
cup with handle,2022-12-14 00:00:00,GNRC
2022-12-28 00:00:00,cup with handle,GNRC
cup with handle,GNRC,2022-12-29 00:00:00
2022-12-30 00:00:00,cup with handle,GNRC
2023-01-03 00:00:00,cup with handle,GNRC
2023-01-04 00:00:00,cup with handle,GNRC
cup with handle,2023-01-05 00:00:00,GNRC
cup with handle,2023-01-06 00:00:00,GNRC
cup with handle,2023-01-06 00:00:00,GD
cup with handle,GM,2023-01-06 00:00:00
cup with handle,2023-01-09 00:00:00,GM
2022-12-29 00:00:00,cup with handle,GPN
2022-12-30 00:00:00,cup with handle,GPN
2023-01-03 00:00:00,cup with handle,GPN
GS,2023-01-09 00:00:00,cup with handle
cup with handle,HAS,2022-12-29 00:00:00
2022-12-30 00:00:00,cup with handle,HAS
HES,cup with handle,2022-12-28 00:00:00
HES,2023-01-04 00:00:00,cup with handle
HLT,cup with handle,2023-01-06 00:00:00
2023-01-09 00:00:00,cup with handle,HRL
HBAN,2023-01-04 00:00:00,cup with handle
HBAN,cup with handle,2023-01-05 00:00:00
HBAN,cup with handle,2023-01-06 00:00:00
HBAN,2023-01-09 00:00:00,cup with handle
cup with handle,2022-12-12 00:00:00,HII
2022-12-13 00:00:00,cup with handle,HII
cup with handle,2022-12-14 00:00:00,HII
cup with handle,2023-01-04 00:00:00,ILMN
