fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2021-12-31,USD,4048598000,8933444000,7000911000,4922739000,2043722000,2001351000,40107000,2118279000,2429000,-129846000,127417000,129846000,9063290000,-119081000,230638000,60222000,1791917000,314405000,129846000,1482819000,1566379000,1921763000,1981985000,1477512000
2020-12-31,USD,3701269000,8149719000,4448450000,4448450000,1782698000,1890925000,37577000,2023832000,4097000,-153471000,149374000,153471000,8159662000,-138327000,219021000,54674000,1498292000,219584000,153471000,1275413000,1264592000,1651763000,1706437000,1278708000
2019-12-31,USD,3622478000,7986252000,4363774000,4363774000,1595952000,1905929000,37146000,2119309000,7997000,-152122000,7997000,152122000,8028888000,-71043000,218096000,54511000,1383724000,234032000,152122000,1146752000,1182506000,1535846000,1590357000,1149692000
2018-12-31,USD,3575325000,7791069000,4215744000,4215744000,1623664000,1874829000,38521000,2061461000,8021000,-146858000,8021000,146858000,68178000,-74766000,231012000,38555000,1416572000,239010000,146858000,1171051000,1134528000,1563430000,1601985000,1177562000
2017-12-31,USD,3455376000,7515426000,4060050000,4060050000,1313409000,1885492000,45850000,2260700000,1784000,-100066000,1784000,100066000,-51260000,-104459000,211592000,23376000,1137112000,354131000,100066000,756537000,845123000,1237178000,1260554000,782981000
