fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2021-12-31,USD,2110800000,4601700000,2141200000,2141200000,1123500000,33200000,61100000,987300000,None,-53100000,53100000,53100000,None,16500000,75600000,104800000,1067500000,247000000,None,841400000,842400000,1120600000,1225400000,820500000
2020-12-31,USD,3822900000,3942200000,119300000,1844000000,880500000,38000000,57400000,151600000,1700000,-54000000,54000000,54000000,3564000000,8700000,73300000,25100000,816100000,189100000,54000000,646400000,769100000,870100000,895200000,627000000
2019-12-31,USD,3956700000,4067700000,111000000,1886000000,962300000,47700000,59100000,137300000,1500000,-49000000,1500000,49000000,3703800000,8800000,70100000,23800000,905300000,211800000,49000000,711200000,693700000,954300000,978100000,693500000
2018-12-31,USD,3902700000,4070400000,167700000,1870700000,956100000,88600000,61200000,183600000,600000,-50400000,600000,50400000,3720700000,4200000,68800000,25300000,894300000,214400000,58200000,696200000,546700000,944700000,970000000,679900000
2017-12-31,USD,1824900000,4000300000,2175400000,1862000000,882100000,90900000,60900000,1160900000,300000,-52400000,300000,52400000,-6800000,-7800000,65600000,27600000,808600000,250900000,52400000,572200000,727200000,861000000,888600000,557700000
