fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2021-12-31,USD,3983600000,5219100000,2750600000,1248900000,1690300000,1493700000,903100000,2425100000,17400000,-18400000,1000000,18400000,5237500000,12700000,127000000,7700000,1702000000,198900000,18400000,1503100000,1506500000,1690300000,1728100000,1503100000
2020-12-31,USD,3305700000,4382800000,2314800000,1080600000,897600000,1228400000,760700000,2399900000,23400000,-15800000,7600000,15800000,4398600000,11500000,101800000,5400000,916700000,93300000,15800000,823400000,818300000,897600000,937900000,823400000
2019-12-31,USD,3233600000,4333200000,2361400000,1114400000,1146800000,1242200000,752700000,2032900000,32200000,-20700000,32200000,20700000,4353900000,8200000,84700000,4600000,1166500000,119600000,20700000,1046900000,1029400000,1146800000,1191800000,1046900000
2018-12-31,USD,2783400000,3699600000,2030300000,939400000,748200000,1088500000,622200000,1927200000,32000000,-29900000,32000000,29900000,3729500000,4000000,74900000,2500000,761400000,39200000,29900000,722200000,724200000,748200000,793800000,722200000
2017-12-31,USD,2560000000,3406700000,1867800000,875300000,1089400000,990800000,552600000,1471800000,20300000,-23200000,20300000,23200000,-5400000,-1400000,74100000,7800000,1034900000,451300000,23200000,583600000,649300000,1089400000,1065900000,583600000
