fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-06-30,USD,1640000000,4828000000,3188000000,3188000000,756000000,844000000,23000000,1296000000,None,-123000000,-85000000,38000000,-38000000,9000000,255000000,378000000,605000000,86000000,35000000,519000000,442000000,756000000,1021000000,519000000
2021-06-30,USD,1352000000,3998000000,2646000000,2646000000,828000000,687000000,21000000,1026000000,None,-110000000,-58000000,52000000,4000000,20000000,196000000,289000000,715000000,130000000,49000000,585000000,654000000,828000000,1056000000,585000000
2020-06-30,USD,983000000,3094000000,2111000000,2111000000,394000000,577000000,21000000,841300000,None,-126000000,-102000000,24000000,-1700000,5000000,165000000,254000000,260000000,39000000,30000000,220700000,188300000,394000000,538000000,221000000
2019-06-30,USD,805000000,2518000000,1713000000,1713000000,274000000,512000000,19000000,757800000,None,-111000000,-101800000,9200000,8100000,13000000,141000000,229000000,160000000,23000000,9200000,137400000,109300000,274000000,398200000,137000000
2018-06-30,USD,752600000,2463400000,1710800000,1710800000,268900000,464800000,6300000,666700000,None,-111400000,-97100000,14300000,-9100000,1700000,127500000,190100000,152000000,68400000,14300000,83600000,71900000,268900000,356400000,83600000
