stock,slope,avgpc
BKNG,0.268,-0.275
CAT,0.235,0.201
MPC,0.216,2.361
HAL,0.212,0.377
DOW,0.189,0.0
AVGO,0.17,0.462
OGN,0.133,0.0
MAR,0.132,6.575
HLT,0.103,1.254
JBHT,0.089,0.404
FANG,0.084,1.525
COP,0.075,1.718
DE,0.064,0.31
EOG,0.063,0.681
