stock,slope,avgpc
BKNG,0.285,-0.275
CAT,0.246,0.201
DOW,0.206,0.0
HAL,0.197,0.377
MPC,0.193,2.361
AVGO,0.155,0.462
MAR,0.131,6.575
OGN,0.119,0.0
HLT,0.108,1.254
JBHT,0.105,0.404
FANG,0.091,1.525
COP,0.067,1.718
DE,0.056,0.31
EOG,0.053,0.681
PSA,0.006,1.024
