stock,slope,avgpc
BKNG,0.265,-0.275
DOW,0.224,0.0
AVGO,0.176,0.462
CAT,0.173,0.201
HAL,0.161,0.377
JBHT,0.141,0.404
MAR,0.129,6.575
HLT,0.128,1.254
OGN,0.109,0.0
MPC,0.092,2.361
EPAM,0.062,0.039
FANG,0.043,1.525
DE,0.03,0.31
PSA,0.015,1.024
EOG,0.006,0.681
