stock,slope,avgpc
BKNG,0.297,-0.275
DOW,0.238,0.0
AVGO,0.201,0.462
CAT,0.176,0.201
HAL,0.153,0.377
JBHT,0.153,0.404
MAR,0.138,6.575
HLT,0.135,1.254
OGN,0.115,0.0
MPC,0.098,2.361
EPAM,0.053,0.039
PAYC,0.039,0.358
FANG,0.038,1.525
DE,0.034,0.31
PSA,0.015,1.024
