stock,slope,avgpc
BKNG,0.28,-0.275
DOW,0.227,0.0
AVGO,0.168,0.462
CAT,0.167,0.201
JBHT,0.141,0.404
HAL,0.14,0.377
MAR,0.131,6.575
HLT,0.124,1.254
OGN,0.112,0.0
EPAM,0.063,0.039
MPC,0.062,2.361
PSA,0.037,1.024
DE,0.026,0.31
PAYC,0.018,0.358
FANG,0.001,1.525
