stock,slope,avgpc
BKNG,0.284,-0.275
DOW,0.225,0.0
AVGO,0.19,0.462
CAT,0.182,0.201
HLT,0.158,1.254
MAR,0.143,6.575
HAL,0.119,0.377
JBHT,0.117,0.404
OGN,0.1,0.0
MPC,0.094,2.361
EPAM,0.055,0.039
DE,0.033,0.31
FANG,0.032,1.525
PSA,0.009,1.024
EOG,0.0,0.681
