fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-12-31,USD,19978000000,14042000000,8630000000,11348000000,10579000000,5857000000,3655000000,None,7488000000,None,1757000000,None,5936000000,None,88000000,1631000000,None,-88000000,None,None,None,1631000000,1640000000,None,5857000000,5857000000,None
2020-09-30,USD,18333000000,4682000000,8592000000,9741000000,8182000000,4276000000,3272000000,None,5041000000,None,1435000000,-74000000,5059000000,None,160000000,765000000,53000000,-107000000,None,-25000000,None,765000000,114000000,None,4276000000,4276000000,None
2020-06-30,USD,19728000000,4810000000,9221000000,10507000000,9184000000,5105000000,3354000000,None,5935000000,None,1447000000,-29000000,5697000000,None,186000000,830000000,83000000,-103000000,None,9000000,None,830000000,332000000,None,5105000000,5105000000,None
2020-03-31,USD,19828000000,4978000000,7812000000,12016000000,9799000000,5661000000,3275000000,None,6614000000,None,1541000000,-313000000,7038000000,None,135000000,953000000,93000000,-42000000,None,162000000,None,953000000,-544000000,None,5661000000,5661000000,None
2019-12-31,USD,20209000000,5081000000,8331000000,11878000000,11144000000,6905000000,3384000000,None,8068000000,None,1542000000,1271000000,6797000000,50000000,108000000,1163000000,109000000,1000000,None,105000000,None,1163000000,1165000000,None,6905000000,6905000000,None
2019-09-30,USD,19190000000,4848000000,7895000000,11295000000,9506000000,5990000000,3208000000,None,6719000000,None,1486000000,272000000,6447000000,50000000,107000000,729000000,114000000,7000000,None,104000000,None,729000000,161000000,None,5990000000,5990000000,None
2019-06-30,USD,16505000000,5261000000,6627000000,9878000000,4724000000,4179000000,3438000000,None,4724000000,None,1589000000,107000000,4617000000,50000000,135000000,545000000,125000000,-10000000,None,184000000,None,545000000,-67000000,None,4179000000,4179000000,None
2019-03-31,USD,16061000000,4915000000,6972000000,9089000000,7310000000,3974000000,3332000000,None,4547000000,None,1533000000,373000000,4174000000,50000000,138000000,573000000,135000000,-3000000,None,None,None,573000000,376000000,None,3974000000,3974000000,None
2018-12-31,USD,18657000000,5003000000,7430000000,11227000000,8265000000,5195000000,3433000000,0,5635000000,0,1520000000,-589000000,6224000000,50000000,-122000000,None,None,None,6000000,0,0,440000000,-589000000,0,5195000000,5195000000,None
2018-09-30,USD,19163000000,5011000000,6803000000,12360000000,9638000000,6398000000,3428000000,0,7142000000,0,1605000000,-207000000,7349000000,50000000,-109000000,None,None,None,0,-72000000,0,744000000,-135000000,0,6398000000,6398000000,None
2018-06-30,USD,16962000000,5146000000,6543000000,10419000000,7900000000,5006000000,3371000000,0,5529000000,0,1725000000,256000000,5273000000,50000000,-116000000,None,None,None,0,0,0,523000000,256000000,0,5006000000,5006000000,None
2018-03-31,USD,16066000000,5261000000,6335000000,9731000000,6594000000,4454000000,3311000000,0,5011000000,0,1900000000,541000000,4470000000,50000000,225000000,None,None,None,0,0,0,557000000,541000000,0,4454000000,4454000000,None
2017-12-31,USD,17053000000,5343000000,6275000000,10778000000,6035000000,-687000000,3274000000,0,6035000000,0,1842000000,640000000,5395000000,53000000,254000000,None,None,None,0,195000000,0,6722000000,1641000000,0,-687000000,-687000000,None
2017-09-30,USD,16149000000,4942000000,6092000000,10057000000,7224000000,4516000000,3223000000,0,5930000000,0,1666000000,815000000,5115000000,49000000,267000000,None,None,None,0,4000000,0,1414000000,336000000,0,4516000000,4516000000,None
2017-06-30,USD,14763000000,5254000000,5667000000,9096000000,6716000000,2808000000,3275000000,0,4572000000,0,1850000000,745000000,3827000000,37000000,225000000,None,None,None,0,105000000,0,1764000000,0,0,2808000000,2808000000,None
2017-03-31,USD,14796000000,5528000000,5636000000,9160000000,5907000000,2964000000,3326000000,0,3815000000,0,2099000000,216000000,3599000000,38000000,213000000,None,None,None,0,80000000,0,851000000,0,0,2964000000,2964000000,None
2016-12-31,USD,16374000000,5579000000,6269000000,10105000000,4732000000,3562000000,3280000000,0,4440000000,0,2158000000,206000000,4526000000,41000000,211000000,None,None,None,0,100000000,0,878000000,-2069000000,0,3562000000,3562000000,None
2016-09-30,USD,15778000000,5521000000,5795000000,9983000000,4318000000,3378000000,3069000000,0,4318000000,0,2006000000,-144000000,4462000000,74000000,216000000,None,None,None,0,372000000,0,940000000,0,0,3378000000,3378000000,None
2016-06-30,USD,13533000000,6655000000,5560000000,7973000000,1318000000,1330000000,3145000000,0,1670000000,0,2007000000,None,1318000000,89000000,211000000,None,None,None,0,1414000000,0,340000000,0,0,1330000000,1330000000,None
2016-03-31,USD,13702000000,5562000000,5572000000,8130000000,2568000000,2046000000,3246000000,0,2508000000,0,2226000000,None,2568000000,90000000,230000000,None,None,None,0,0,0,462000000,0,0,2046000000,2046000000,None
2015-12-31,USD,14914000000,5291000000,5324000000,9590000000,4299000000,3613000000,9109000000,0,4303000000,0,6024000000,None,4299000000,380000000,182000000,None,None,None,0,197000000,0,690000000,-144000000,0,3613000000,3613000000,None
