fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-09-30,USD,323888000000,None,None,11264000000,258549000000,65339000000,None,49327000000,50779000000,14966000000,46108000000,None,33952000000,38016000000,105392000000,13769000000,13769000000,-406000000,36766000000,143713000000,100887000000,65339000000,52927000000,37445000000,98667000000,4061000000,42296000000,None,None,50779000000,None,14966000000,None,None,42522000000,None,180175000000,None,98667000000,54490000000,153157000000,None,None,None,None,323888000000,90943000000,None,16976763000
2019-09-30,USD,338516000000,None,None,12352000000,248028000000,90488000000,None,43242000000,45174000000,45898000000,50503000000,None,32978000000,48844000000,105718000000,16240000000,16240000000,-584000000,37378000000,162819000000,105341000000,90488000000,51713000000,45804000000,91807000000,4106000000,46236000000,None,None,45174000000,None,45898000000,None,None,32978000000,None,175697000000,None,91807000000,50503000000,142310000000,None,None,None,None,338516000000,100557000000,None,4443236000
2018-09-30,USD,365725000000,None,None,12087000000,258578000000,107147000000,2797000000,40230000000,40201000000,70400000000,48914000000,None,22283000000,25913000000,116866000000,20748000000,20748000000,-3454000000,41304000000,131339000000,170799000000,107147000000,40388000000,48995000000,93735000000,3956000000,55888000000,None,None,40201000000,None,70400000000,None,None,22283000000,None,234386000000,None,93735000000,45180000000,141712000000,None,None,None,None,365725000000,66301000000,None,4754986000
2017-09-30,USD,375319000000,2298000000,None,13936000000,241272000000,134047000000,2836000000,7548000000,35867000000,98330000000,43251000000,5717000000,18177000000,20289000000,100814000000,18473000000,18473000000,-150000000,33783000000,128645000000,194714000000,126032000000,53892000000,35673000000,97207000000,4855000000,74793000000,0,0,35867000000,0,98330000000,0,None,10162000000,None,246674000000,None,97207000000,40415000000,140458000000,None,None,None,None,375319000000,74181000000,None,5126201000
2016-09-30,USD,321686000000,3206000000,None,8283000000,193437000000,128249000000,2930000000,8080000000,31251000000,96364000000,39004000000,5414000000,8757000000,20484000000,79006000000,11600000000,11605000000,634000000,27010000000,106869000000,170430000000,119629000000,46671000000,29299000000,75427000000,2132000000,59321000000,None,None,31251000000,None,96364000000,None,None,8757000000,None,214817000000,None,75427000000,36074000000,114431000000,None,None,None,None,321686000000,67155000000,None,5336166000
