fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
9/30/2020,USD,2448000000,1559000000,None,2448000000,889000000,698000000,None,None,889000000,None,1559000000,None,889000000,73000000,89000000,191000000,1432000000,1343000000,None,None,None,191000000,None,None,698000000,615000000,83000000
6/30/2020,USD,2450000000,1562000000,None,2450000000,888000000,671000000,None,None,888000000,None,1003000000,None,888000000,100000000,97000000,217000000,1486000000,1389000000,None,None,None,217000000,None,None,671000000,621000000,50000000
3/31/2020,USD,2617000000,1570000000,136000000,2617000000,1047000000,795000000,None,None,1047000000,None,1073000000,None,1047000000,77000000,136000000,252000000,1708000000,1572000000,None,None,None,252000000,None,None,795000000,757000000,38000000
12/31/2019,USD,2606000000,1494000000,168000000,2606000000,1112000000,852000000,None,None,1112000000,None,1494000000,None,1112000000,71000000,168000000,260000000,1763000000,1595000000,None,None,None,260000000,-62000000,None,852000000,801000000,51000000
9/30/2019,USD,2711000000,1475000000,261000000,2711000000,1236000000,951000000,None,None,1236000000,None,1021000000,None,1236000000,54000000,261000000,285000000,1892000000,1631000000,None,None,None,285000000,-62000000,None,951000000,913000000,38000000
6/30/2019,USD,2681000000,1445000000,318000000,2681000000,1236000000,937000000,None,None,1236000000,None,976000000,None,1236000000,74000000,318000000,299000000,1927000000,1609000000,None,None,None,299000000,None,None,937000000,887000000,50000000
3/31/2019,USD,2723000000,1459000000,62000000,2723000000,1264000000,964000000,None,None,1264000000,None,1459000000,None,1264000000,62000000,317000000,300000000,1998000000,1681000000,None,None,None,300000000,0,None,964000000,925000000,39000000
12/31/2018,USD,2669000000,1459000000,63000000,2669000000,1210000000,935000000,0,0,1210000000,0,1459000000,None,1210000000,81000000,803000000,None,None,None,0,0,0,275000000,0,0,935000000,885000000,50000000
9/30/2018,USD,2579000000,1360000000,59000000,2579000000,1219000000,923000000,0,0,1219000000,0,1360000000,None,1219000000,71000000,54000000,None,None,None,0,0,0,296000000,0,0,923000000,885000000,38000000
6/30/2018,USD,2486000000,1355000000,58000000,2486000000,1131000000,866000000,0,0,1131000000,0,930000000,None,1131000000,72000000,52000000,None,None,None,0,0,0,265000000,0,0,866000000,813000000,53000000
3/31/2018,USD,2398000000,1396000000,1394000000,2398000000,1002000000,783000000,0,0,1002000000,0,956000000,None,1002000000,89000000,87000000,None,None,None,0,0,0,219000000,0,0,783000000,746000000,37000000
12/31/2017,USD,2242000000,1289000000,1275000000,2242000000,953000000,597000000,0,0,953000000,0,1289000000,None,953000000,302000000,64000000,None,None,None,0,0,0,356000000,0,0,597000000,550000000,47000000
9/30/2017,USD,2165000000,1220000000,1206000000,2165000000,945000000,618000000,0,0,945000000,0,781000000,None,945000000,49000000,39000000,None,None,None,0,0,0,327000000,0,0,618000000,575000000,43000000
6/30/2017,USD,2130000000,1221000000,1188000000,2130000000,909000000,575000000,0,0,909000000,0,792000000,None,909000000,-148000000,41000000,None,None,None,0,0,0,334000000,0,0,575000000,530000000,45000000
3/31/2017,USD,2081000000,1238000000,1194000000,2081000000,843000000,564000000,0,0,843000000,0,829000000,None,843000000,65000000,34000000,None,None,None,0,0,0,279000000,0,0,564000000,525000000,39000000
12/31/2016,USD,1972000000,1148000000,1099000000,1972000000,824000000,522000000,0,0,824000000,0,1148000000,None,824000000,171000000,33000000,None,None,None,0,0,0,302000000,16000000,0,522000000,478000000,44000000
9/30/2016,USD,1914000000,1120000000,1066000000,1914000000,794000000,503000000,0,0,794000000,0,1120000000,None,794000000,183000000,35000000,None,None,None,0,0,0,291000000,0,0,503000000,470000000,33000000
6/30/2016,USD,1828000000,1108000000,1058000000,1828000000,720000000,452000000,0,0,720000000,0,1108000000,None,720000000,-177000000,33000000,None,None,None,0,0,0,268000000,0,0,452000000,406000000,46000000
3/31/2016,USD,1764000000,1109000000,1063000000,1764000000,655000000,412000000,0,0,655000000,0,1109000000,None,655000000,58000000,30000000,None,None,None,0,0,0,243000000,0,0,412000000,392000000,20000000
12/31/2015,USD,1691000000,1046000000,995000000,1691000000,645000000,416000000,0,0,645000000,0,1046000000,None,645000000,235000000,29000000,None,None,None,0,0,0,229000000,75000000,0,416000000,378000000,38000000
