fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-09-30,USD,274515000000,38668000000,169559000000,104956000000,67091000000,57411000000,18752000000,None,67091000000,None,19916000000,803000000,66288000000,None,2873000000,9680000000,890000000,890000000,None,None,None,9680000000,-87000000,None,57411000000,57411000000,None
2019-09-30,USD,260174000000,34462000000,161782000000,98392000000,65737000000,55256000000,16217000000,None,65737000000,None,18245000000,1807000000,63930000000,None,3576000000,10481000000,4961000000,1385000000,None,None,None,10481000000,422000000,None,55256000000,55256000000,None
2018-09-30,USD,265595000000,30941000000,163756000000,101839000000,72903000000,59531000000,14236000000,None,72903000000,None,16705000000,2005000000,70898000000,None,3240000000,13372000000,5686000000,2446000000,-1515000000,None,None,13372000000,-441000000,None,59531000000,59531000000,None
2017-09-30,USD,229234000000,26842000000,141048000000,88186000000,64089000000,48351000000,11581000000,None,64089000000,None,15261000000,2745000000,61344000000,None,2323000000,15738000000,5201000000,2878000000,None,None,None,15738000000,-133000000,None,48351000000,48351000000,None
2016-09-30,USD,215639000000,24239000000,131376000000,84263000000,61372000000,45687000000,10045000000,None,61372000000,None,14194000000,1348000000,60024000000,None,1456000000,15685000000,3999000000,2543000000,None,None,None,15685000000,-1195000000,None,45687000000,45687000000,None
