fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-09-30,USD,323888000000,None,None,11264000000,258549000000,65339000000,None,49327000000,50779000000,14966000000,46108000000,None,33952000000,38016000000,105392000000,13769000000,13769000000,-406000000,36766000000,143713000000,100887000000,65339000000,52927000000,37445000000,98667000000,4061000000,42296000000,None,None,50779000000,None,14966000000,None,None,42522000000,None,180175000000,None,98667000000,54490000000,153157000000,None,None,None,None,323888000000,90943000000,None,16976763000
2020-06-30,USD,317344000000,None,None,10987000000,245062000000,72282000000,None,41318000000,48696000000,24136000000,47606000000,None,32836000000,33383000000,95318000000,18675000000,18675000000,-550000000,35687000000,140065000000,100592000000,72282000000,59642000000,32075000000,94048000000,3978000000,35325000000,None,None,48696000000,None,24136000000,None,None,41000000000,None,177279000000,None,94048000000,55696000000,149744000000,None,None,None,None,317344000000,93025000000,None,4283939000
2020-03-31,USD,320400000000,None,None,15691000000,241975000000,78425000000,None,43252000000,48032000000,33182000000,48745000000,None,33868000000,40174000000,96094000000,20421000000,20421000000,-2789000000,35889000000,143753000000,98793000000,78425000000,53877000000,30677000000,89086000000,3334000000,32421000000,None,None,48032000000,None,33182000000,None,None,41965000000,None,176647000000,None,89086000000,56795000000,145881000000,None,None,None,None,320400000000,94051000000,None,4323987000
2019-12-31,USD,340618000000,None,None,12026000000,251087000000,89531000000,None,41836000000,45972000000,43977000000,48648000000,None,33195000000,39771000000,102161000000,15214000000,15214000000,-418000000,37031000000,163231000000,99899000000,89531000000,67391000000,39946000000,93078000000,4097000000,45111000000,None,None,45972000000,None,43977000000,None,None,40457000000,None,177387000000,None,93078000000,55848000000,148926000000,None,None,None,None,340618000000,107162000000,None,4384959000
2019-09-30,USD,338516000000,None,None,12352000000,248028000000,90488000000,None,43242000000,45174000000,45898000000,50503000000,None,32978000000,48844000000,105718000000,16240000000,16240000000,-584000000,37378000000,162819000000,105341000000,90488000000,51713000000,45804000000,91807000000,4106000000,46236000000,None,None,45174000000,None,45898000000,None,None,32978000000,None,175697000000,None,91807000000,50503000000,142310000000,None,None,None,None,338516000000,100557000000,None,4443236000
2019-06-30,USD,322239000000,None,None,10530000000,225783000000,96456000000,None,37107000000,43371000000,53724000000,51143000000,None,33634000000,50530000000,89704000000,23482000000,23482000000,-639000000,37636000000,134973000000,115996000000,96456000000,44084000000,26474000000,84936000000,3355000000,29115000000,None,None,43371000000,None,53724000000,None,None,33634000000,None,187266000000,None,84936000000,51143000000,136079000000,None,None,None,None,322239000000,94614000000,None,4531395000
2019-03-31,USD,341998000000,None,None,12092000000,236138000000,105860000000,None,40900000000,42801000000,64558000000,52165000000,None,34587000000,37988000000,93772000000,22429000000,22429000000,-1499000000,38746000000,123346000000,145319000000,105860000000,42104000000,26278000000,90201000000,4884000000,30443000000,None,None,42801000000,None,64558000000,None,None,34587000000,None,218652000000,None,90201000000,52165000000,142366000000,None,None,None,None,341998000000,80092000000,None,4607284000
2018-12-31,USD,373719000000,None,None,12432000000,255827000000,117892000000,None,42249000000,40970000000,80510000000,54555000000,None,34686000000,44771000000,108283000000,21741000000,9772000000,-3588000000,39597000000,140828000000,158608000000,117892000000,41656000000,36981000000,92989000000,4988000000,44293000000,None,None,40970000000,None,80510000000,None,None,34686000000,None,232891000000,None,92989000000,54555000000,147544000000,None,None,None,None,373719000000,86427000000,None,4729803000
2018-09-30,USD,365725000000,0,None,12087000000,258578000000,107147000000,2797000000,40230000000,40201000000,70400000000,47977000000,0,22283000000,25913000000,116866000000,20748000000,8784000000,-3454000000,41304000000,131339000000,170799000000,107147000000,40388000000,48995000000,93735000000,3956000000,55888000000,0,0,40201000000,0,70400000000,0,None,22283000000,None,234386000000,None,93735000000,45180000000,141712000000,None,None,None,None,365725000000,66301000000,None,4754986000
2018-06-30,USD,349197000000,0,None,12488000000,234248000000,114949000000,2878000000,7403000000,38624000000,79436000000,48572000000,0,22546000000,31971000000,88548000000,17472000000,5498000000,-3111000000,38117000000,115761000000,172773000000,114949000000,38999000000,26367000000,97128000000,5936000000,63673000000,0,0,38624000000,0,79436000000,0,None,22546000000,None,233436000000,None,97128000000,45694000000,145700000000,None,None,None,None,349197000000,70970000000,None,4842917000
