fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-09-30,USD,232898000000,31697000000,None,162599000000,163786000000,68807000000,7253000000,30595000000,46388000000,49328000000,21701000000,79579000000,9362000000,9256000000,62044000000,5443000000,5443000000,1255000000,12349000000,59211000000,20216000000,68807000000,2831000000,28385000000,61552000000,17478000000,26006000000,None,None,46388000000,None,49328000000,-28164000000,None,4569000000,None,12349000000,20278000000,61552000000,32937000000,101742000000,None,None,None,None,232898000000,12087000000,None,1309000000
2020-06-30,USD,235495000000,32225000000,None,162088000000,167140000000,68022000000,None,119312000000,46276000000,48768000000,21353000000,80057000000,9321000000,14869000000,63694000000,12831000000,8192000000,1213000000,12221000000,62506000000,18594000000,68022000000,2596000000,27202000000,63481000000,16519000000,34997000000,None,None,46276000000,None,48768000000,-28235000000,None,4682000000,None,12221000000,20378000000,63481000000,9578000000,103446000000,None,None,None,None,235495000000,17465000000,None,1307000000
2020-03-31,USD,230639000000,32727000000,None,161019000000,165165000000,65140000000,None,121492000000,46180000000,46455000000,21131000000,79993000000,9303000000,10081000000,59560000000,10638000000,6083000000,687000000,12146000000,58958000000,16840000000,65140000000,2632000000,27785000000,65735000000,16976000000,33035000000,None,None,46180000000,None,46455000000,-28182000000,None,4748000000,None,12146000000,20501000000,65735000000,9455000000,105605000000,None,None,None,None,230639000000,12713000000,None,1305000000
2019-12-31,USD,222449000000,33121000000,None,5113000000,158279000000,63864000000,7294000000,26897000000,45972000000,45108000000,21351000000,79749000000,9059000000,5683000000,53303000000,3781000000,3781000000,1019000000,32904000000,50302000000,17314000000,-49006000000,2373000000,19617000000,64699000000,17516000000,22625000000,None,None,45972000000,None,45108000000,-28235000000,None,41963000000,None,172147000000,20522000000,64699000000,32983000000,104976000000,None,None,None,None,222449000000,8056000000,None,1302000000
2019-09-30,USD,220113000000,33655000000,None,4841000000,157180000000,62614000000,7279000000,26639000000,45854000000,44017000000,21604000000,79548000000,8975000000,5193000000,52544000000,4848000000,4848000000,950000000,11651000000,48185000000,17342000000,-50589000000,2334000000,19789000000,64206000000,16028000000,21057000000,None,None,45854000000,None,44017000000,-28207000000,None,29732000000,None,171928000000,20624000000,64206000000,33151000000,104636000000,None,None,None,None,220113000000,7527000000,None,1301000000
2019-06-30,USD,218904000000,34163000000,None,4691000000,157305000000,61282000000,7375000000,25314000000,45719000000,43136000000,22139000000,79485000000,9034000000,6063000000,49376000000,4340000000,4340000000,684000000,11483000000,46901000000,16973000000,-52366000000,2462000000,18174000000,66941000000,15511000000,19722000000,None,None,45719000000,None,43136000000,-28257000000,None,29899000000,None,172003000000,20642000000,66941000000,33613000000,107929000000,None,None,None,None,218904000000,8525000000,None,1299000000
2019-03-31,USD,219768000000,35147000000,None,4578000000,159762000000,59686000000,7540000000,6701000000,45615000000,41859000000,22282000000,79075000000,8939000000,5896000000,50631000000,3893000000,6898000000,433000000,11348000000,47857000000,16410000000,-54536000000,2426000000,19509000000,67888000000,15448000000,8290000000,None,None,45615000000,None,41859000000,-28221000000,None,8939000000,None,150919000000,20764000000,67888000000,6690000000,82118000000,None,None,None,None,219768000000,8322000000,None,1298000000
2018-12-31,USD,196456000000,36524000000,None,4581000000,137913000000,58225000000,7677000000,22388000000,45440000000,40911000000,22460000000,78678000000,8930000000,4059000000,44009000000,1985000000,1265000000,102000000,11349000000,45243000000,15732000000,-56977000000,2522000000,17631000000,71444000000,16450000000,19636000000,None,None,45440000000,None,40911000000,-28228000000,None,8930000000,None,151213000000,None,71444000000,14783000000,93904000000,None,None,None,None,196456000000,6581000000,None,1295000000
2018-09-30,USD,131506000000,13166000000,None,634000000,94884000000,36618000000,0,60747000000,17000000,41843000000,4677000000,34216000000,1724000000,41587000000,29460000000,14487000000,2139000000,100000000,10419000000,71981000000,None,-10764000000,105000000,14837000000,60747000000,14818000000,19650000000,0,0,17000000,0,41843000000,-37702000000,None,1724000000,None,59525000000,None,None,None,None,None,None,None,32360000000,131506000000,41692000000,None,1019000000
2018-06-30,USD,133290000000,13322000000,None,799000000,97679000000,35607000000,0,61569000000,17000000,40965000000,4617000000,34220000000,1709000000,43815000000,31493000000,15283000000,3540000000,110000000,10249000000,73790000000,None,-11935000000,96000000,14158000000,61569000000,14922000000,20827000000,0,0,17000000,0,40965000000,-37749000000,None,1709000000,None,59500000000,None,None,None,None,None,None,None,32264000000,133290000000,43911000000,None,1017000000
2018-03-31,USD,135139000000,13388000000,None,868000000,96462000000,38673000000,0,61552000000,17000000,44040000000,4662000000,38115000000,1694000000,42023000000,30248000000,14783000000,3542000000,141000000,10144000000,71798000000,None,-12830000000,119000000,13964000000,61552000000,14824000000,20127000000,0,0,17000000,0,44040000000,-37716000000,None,1694000000,None,63341000000,None,None,None,None,None,None,None,32191000000,135139000000,42142000000,None,1016000000
2017-12-31,USD,95131000000,13630000000,None,945000000,57436000000,37691000000,2996000000,16964000000,17000000,43556000000,1611000000,38451000000,53610000000,1696000000,30648000000,15176000000,3568000000,-196000000,10292000000,31229000000,None,-14390000000,111000000,13181000000,22181000000,15296000000,15472000000,0,32079000000,17000000,0,43556000000,-37765000000,None,1529000000,None,63902000000,None,22181000000,1611000000,26788000000,None,None,None,32079000000,95131000000,1807000000,None,1014000000
2017-09-30,USD,92853000000,13303000000,None,776000000,57985000000,34863000000,4442000000,18211000000,17000000,40779000000,1644000000,38169000000,53016000000,2485000000,28513000000,12210000000,2293000000,-178000000,9914000000,29923000000,None,-16609000000,75000000,12440000000,23386000000,14147000000,16303000000,0,0,17000000,0,40779000000,-37764000000,None,1544000000,None,62930000000,None,23386000000,1644000000,29472000000,None,None,None,32009000000,92853000000,2560000000,None,1013000000
2017-06-30,USD,92525000000,13354000000,None,690000000,58378000000,34142000000,4210000000,17841000000,17000000,40005000000,1689000000,38130000000,53048000000,2094000000,26857000000,10850000000,26764000000,-337000000,10073000000,29404000000,None,-17342000000,75000000,12274000000,25622000000,14271000000,16007000000,0,0,17000000,0,40005000000,-37414000000,None,1564000000,None,63121000000,None,25622000000,1689000000,31521000000,None,None,None,31871000000,92525000000,2169000000,None,1015000000
2017-03-31,USD,92670000000,13390000000,None,735000000,58828000000,33837000000,4214000000,18133000000,17000000,39419000000,1704000000,38263000000,53156000000,2217000000,27288000000,11264000000,27433000000,-327000000,10057000000,29457000000,None,-17816000000,85000000,12114000000,25622000000,14306000000,16024000000,0,0,17000000,0,39419000000,-36306000000,None,1503000000,None,63213000000,None,25622000000,1704000000,31540000000,None,None,None,31034000000,92670000000,2302000000,None,1027000000
2016-12-31,USD,94462000000,13511000000,None,660000000,57628000000,36830000000,4214000000,16388000000,17000000,38983000000,1549000000,38249000000,53245000000,3371000000,26250000000,11367000000,42000000,-336000000,10175000000,31042000000,None,-14930000000,87000000,12164000000,25615000000,14760000000,14883000000,36834000000,31618000000,17000000,0,38983000000,-33452000000,None,1485000000,None,63420000000,None,25615000000,1549000000,31378000000,None,None,None,31618000000,94462000000,3458000000,None,1061000000
2016-09-30,USD,94156000000,13567000000,None,703000000,58202000000,35949000000,4254000000,18034000000,17000000,37732000000,1597000000,38214000000,53316000000,2189000000,26741000000,10301000000,10301000000,-350000000,9901000000,30939000000,None,-15832000000,74000000,13625000000,25610000000,14348000000,16440000000,35954000000,0,17000000,0,37732000000,-32991000000,None,1535000000,None,63217000000,None,25610000000,1597000000,31461000000,None,None,None,31541000000,94156000000,2263000000,None,1066000000
