fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-10-31,USD,22353000000,153000000,None,2987000000,11775000000,10578000000,None,1321000000,9000000,27209000000,1673000000,3466000000,1971000000,5351000000,4459000000,None,None,-299000000,1604000000,13369000000,1538000000,6959000000,387000000,2963000000,5448000000,3904000000,3138000000,None,None,9000000,None,27209000000,-24245000000,None,None,None,6761000000,259000000,5448000000,1868000000,7316000000,None,None,None,7904000000,22353000000,5738000000,None,914000000
2020-07-31,USD,21171000000,157000000,None,159000000,11602000000,9569000000,None,2301000000,9000000,26278000000,1674000000,3474000000,1970000000,4350000000,4285000000,None,None,-277000000,1784000000,12248000000,1538000000,5938000000,406000000,2943000000,5447000000,3952000000,1118000000,None,None,9000000,None,26278000000,-24195000000,None,271000000,None,8923000000,259000000,5447000000,215000000,7317000000,None,None,None,7754000000,21171000000,4756000000,None,None
2020-04-30,USD,21815000000,132000000,None,2991000000,12791000000,9024000000,None,1334000000,9000000,25638000000,1626000000,3426000000,2068000000,5281000000,4765000000,600000000,600000000,-315000000,1534000000,12735000000,1678000000,5466000000,423000000,2625000000,6215000000,3725000000,2831000000,None,None,9000000,None,25638000000,-23995000000,None,274000000,None,6770000000,244000000,6215000000,1811000000,8026000000,None,None,None,7687000000,21815000000,5704000000,None,923000000
2020-01-31,USD,19767000000,142000000,None,2847000000,11107000000,8660000000,None,1400000000,9000000,25085000000,1708000000,3399000000,2033000000,3424000000,4569000000,600000000,600000000,-188000000,1555000000,10769000000,1713000000,5119000000,536000000,2679000000,4714000000,3472000000,2569000000,None,None,9000000,None,25085000000,-23796000000,None,8998000000,None,6809000000,160000000,4714000000,1824000000,6538000000,None,None,None,7550000000,19767000000,3960000000,None,927000000
2019-10-31,USD,19024000000,156000000,None,2612000000,10810000000,8214000000,None,1336000000,9000000,24386000000,1650000000,3399000000,2031000000,3129000000,4447000000,600000000,600000000,-180000000,1529000000,10206000000,1703000000,4659000000,489000000,2533000000,4713000000,3474000000,2511000000,None,None,9000000,None,24386000000,-23596000000,None,8818000000,None,6787000000,None,4713000000,1650000000,6363000000,None,None,None,7595000000,19024000000,3618000000,None,916000000
2019-07-31,USD,18805000000,170000000,None,2600000000,10689000000,8116000000,None,1430000000,9000000,23880000000,1592000000,3399000000,2031000000,3014000000,3785000000,None,None,-137000000,1513000000,10042000000,1650000000,4547000000,547000000,2373000000,5312000000,3539000000,2355000000,None,None,9000000,None,23880000000,-23096000000,None,8763000000,None,6732000000,None,5312000000,1592000000,6904000000,None,None,None,7460000000,18805000000,3561000000,None,937000000
2019-04-30,USD,18775000000,185000000,None,2524000000,10574000000,8201000000,None,1393000000,9000000,23502000000,1658000000,3399000000,2026000000,3116000000,3605000000,None,None,-138000000,1494000000,10062000000,1609000000,4617000000,507000000,2264000000,5311000000,3677000000,2212000000,None,None,9000000,None,23502000000,-22568000000,None,8713000000,None,6687000000,None,5311000000,1658000000,6969000000,None,None,None,7396000000,18775000000,3623000000,None,948000000
2019-01-31,USD,18922000000,199000000,None,2452000000,10713000000,8209000000,None,1356000000,9000000,23032000000,1627000000,3368000000,2026000000,3192000000,3776000000,None,None,-154000000,1456000000,10285000000,1588000000,4642000000,520000000,2444000000,5310000000,3703000000,2420000000,None,None,9000000,None,23032000000,-21943000000,None,8637000000,None,6611000000,None,5310000000,1627000000,6937000000,None,None,None,7265000000,18922000000,3712000000,None,965000000
2018-10-31,USD,17773000000,213000000,None,900000000,10934000000,6839000000,0,1347000000,10000000,20874000000,1557000000,3368000000,470000000,3440000000,4068000000,None,None,-125000000,1407000000,10747000000,1568000000,3258000000,590000000,2565000000,5309000000,3722000000,2721000000,0,0,10000000,0,20874000000,-21194000000,None,None,None,6556000000,None,5309000000,1557000000,6866000000,None,None,None,7274000000,17773000000,4030000000,None,967000000
2018-07-31,USD,17883000000,263000000,None,771000000,11058000000,6825000000,0,1581000000,10000000,20191000000,1428000000,3368000000,429000000,3374000000,4322000000,5308000000,5308000000,-77000000,1321000000,10889000000,1613000000,3194000000,610000000,2882000000,5308000000,3681000000,2741000000,0,0,10000000,0,20191000000,-20444000000,None,None,None,6565000000,None,5308000000,1428000000,6736000000,None,None,None,7145000000,17883000000,3984000000,None,1005000000
