fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2019-12-31,USD,256776000000,33541000000,211248000000,45528000000,12032000000,6634000000,None,None,8997000000,-3000000,33061000000,45000000,11987000000,None,3035000000,2366000000,-3035000000,-3035000000,None,None,None,2366000000,45000000,None,6631000000,6634000000,None
2018-12-31,USD,194579000000,27517000000,163041000000,31538000000,4025000000,-594000000,0,None,1406000000,-2000000,21368000000,4000000,4021000000,None,2619000000,2002000000,-2619000000,-2619000000,100000000,6149000000,None,2002000000,-6145000000,None,-596000000,-594000000,None
2017-12-31,USD,184765000000,19028000000,156220000000,28545000000,9309000000,6622000000,0,None,8268000000,1000000,18809000000,-208000000,9517000000,None,1041000000,1637000000,21000000,-1041000000,1492000000,None,None,1637000000,-208000000,-8000000,6631000000,6622000000,None
2016-12-31,USD,177526000000,18519000000,148669000000,28857000000,9695000000,5317000000,0,None,8637000000,2000000,18448000000,-643000000,10338000000,None,1058000000,3317000000,20000000,-1058000000,-1000000,None,None,3317000000,-643000000,-1000000,5320000000,5317000000,None
2015-12-31,USD,153290000000,17074000000,126762000000,26528000000,9454000000,5237000000,0,None,8616000000,2000000,17074000000,None,9454000000,None,838000000,3386000000,-838000000,None,9000000,None,None,3386000000,-1079000000,9000000,5230000000,5237000000,None
