fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
9/30/2020,USD,4.19355E+11,1258000000,None,501000000,3.88024E+11,31331000000,None,3.20717E+11,15000000,21261000000,292000000,1737000000,2606000000,57044000000,3.80188E+11,None,None,5686000000,2346000000,1.04771E+11,3.03758E+11,23073000000,3.03758E+11,47727000000,7829000000,None,59471000000,None,None,15000000,5263000000,21261000000,-5691000000,None,5485000000,None,3.14584E+11,7000000,7836000000,None,7836000000,None,None,None,4797000000,4.19355E+11,57044000000,None,None
6/30/2020,USD,4.00484E+11,1278000000,None,803000000,3.69669E+11,30815000000,None,3.01566E+11,15000000,20876000000,269000000,1733000000,2092000000,66762000000,3.61143E+11,None,None,5611000000,2314000000,1.09054E+11,2.81216E+11,22541000000,2.81216E+11,42292000000,8526000000,None,59577000000,None,None,15000000,5263000000,20876000000,-5710000000,None,4889000000,None,2.9143E+11,None,8526000000,None,8526000000,None,None,None,4760000000,4.00484E+11,66762000000,None,None
3/31/2020,USD,3.70779E+11,None,None,17265000000,3.44509E+11,26270000000,None,2.77477E+11,15000000,20487000000,261000000,1227000000,2331000000,1.02767E+11,3.35987E+11,2.77477E+11,None,3995000000,2291000000,1.21768E+11,2.40753E+11,22250000000,2.21232E+11,19001000000,8522000000,None,58510000000,None,None,15000000,2793000000,20487000000,-5734000000,None,4740000000,None,2.49011E+11,None,8522000000,None,8522000000,None,None,None,4714000000,3.70779E+11,1.02767E+11,None,1294000000
12/31/2019,USD,2.94005E+11,128000000,None,11455000000,2.7226E+11,21745000000,281000000,2.20094E+11,15000000,19960000000,385000000,1227000000,580000000,49828000000,2.6483E+11,2.20094E+11,None,88000000,2128000000,71595000000,2.1434E+11,17725000000,61422000000,21767000000,7430000000,None,44736000000,None,None,15000000,2793000000,19960000000,-5767000000,None,4715000000,None,2.2241E+11,None,7430000000,None,7430000000,None,None,None,4656000000,2.94005E+11,49828000000,None,1320000000
9/30/2019,USD,2.78987E+11,None,None,6457000000,2.57633E+11,21354000000,None,2.09327E+11,15000000,19374000000,298000000,1227000000,1440000000,36416000000,2.50206E+11,2.09327E+11,None,144000000,2017000000,58802000000,2.14069E+11,17334000000,56483000000,22386000000,7427000000,None,40879000000,None,None,15000000,2793000000,19374000000,-5612000000,None,2872000000,None,2.20185E+11,None,7427000000,None,7427000000,None,None,None,4640000000,2.78987E+11,36416000000,None,1308000000
6/30/2019,USD,2.76321E+11,None,None,6012000000,2.55001E+11,21320000000,None,2.08375E+11,15000000,18680000000,266000000,1227000000,1420000000,38345000000,2.47577E+11,2.08375E+11,None,99000000,1909000000,60236000000,2.10151E+11,17300000000,54648000000,21891000000,7424000000,None,39202000000,None,None,15000000,2793000000,18680000000,-4866000000,None,2798000000,None,2.16085E+11,None,7424000000,None,7424000000,None,None,None,4599000000,2.76321E+11,38345000000,None,1337000000
3/31/2019,USD,2.82815E+11,None,None,3346000000,2.6119E+11,21625000000,None,2.19454E+11,15000000,18017000000,200000000,1227000000,1374000000,46482000000,2.54361E+11,None,None,-71000000,1813000000,67627000000,2.09456E+11,17605000000,60005000000,21145000000,6829000000,None,34907000000,None,None,15000000,2793000000,18017000000,-3677000000,None,2692000000,None,2.15188E+11,None,6829000000,None,6829000000,None,None,None,4548000000,2.82815E+11,46482000000,None,1344000000
12/31/2018,USD,2.96482E+11,152000000,None,4007000000,2.75812E+11,20670000000,250000000,2.31423E+11,15000000,17329000000,188000000,1227000000,348000000,41501000000,2.68934E+11,None,None,-252000000,1769000000,63705000000,2.27735E+11,16650000000,14102000000,22204000000,6826000000,None,37511000000,None,None,15000000,2793000000,17329000000,-3714000000,None,2046000000,None,2.32777E+11,None,6878000000,None,6878000000,None,None,None,4499000000,2.96482E+11,41501000000,None,1361000000
9/30/2018,USD,2.72102E+11,1227000000,None,2969000000,2.51268E+11,20834000000,246000000,2.13408E+11,15000000,16615000000,204000000,1227000000,1318000000,30317000000,2.45478E+11,5800000000,5800000000,-304000000,1683000000,53526000000,2.13574E+11,16814000000,8987000000,23209000000,5735000000,1.9701E+11,32070000000,0,0,15000000,2793000000,16615000000,-2769000000,None,2092000000,None,2.18576E+11,None,5790000000,None,5790000000,None,None,None,4484000000,2.72102E+11,30317000000,None,1364000000
6/30/2018,USD,2.61882E+11,93000000,None,2892000000,2.41785E+11,20097000000,239000000,1.99922E+11,15000000,15903000000,208000000,1227000000,1510000000,24262000000,2.35996E+11,6735000000,6735000000,-278000000,1599000000,47638000000,2.09408E+11,15984000000,11537000000,23376000000,5732000000,1.92839E+11,36074000000,0,0,15000000,2793000000,15903000000,-2783000000,None,1917000000,None,2.14244E+11,None,5789000000,None,5789000000,None,None,None,4447000000,2.61882E+11,24262000000,None,1364000000
3/31/2018,USD,2.4832E+11,101000000,None,1991000000,2.2899E+11,19330000000,230000000,1.90184E+11,15000000,15222000000,2468000000,1227000000,3366000000,26968000000,2.24862E+11,4928000000,4928000000,-260000000,1540000000,49015000000,1.94399E+11,15209000000,12823000000,22047000000,3853000000,1.7801E+11,34678000000,0,0,15000000,2793000000,15222000000,-2837000000,None,2038000000,None,1.99305E+11,None,4128000000,None,4128000000,None,None,None,4397000000,2.4832E+11,26968000000,None,1362000000
12/31/2017,USD,2.43274E+11,108000000,None,126000000,2.24749E+11,18525000000,0,1.69656E+11,15000000,14408000000,2810000000,1227000000,2284000000,29356000000,2.19996E+11,15000000000,20719000000,-152000000,1471000000,50581000000,1.87938E+11,14397000000,15139000000,21225000000,3845000000,1.7146E+11,35340000000,0,0,15000000,2793000000,14408000000,-2892000000,None,1949000000,None,1.92693E+11,None,4753000000,None,4753000000,None,None,None,4353000000,2.43274E+11,29356000000,None,1353000000
