fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-09-30,USD,64698000000,9914000000,40009000000,24689000000,18237000000,12673000000,4978000000,None,14901000000,None,4936000000,126000000,14775000000,None,634000000,2228000000,134000000,134000000,None,None,None,2228000000,-8000000,None,12673000000,12673000000,None
2020-06-30,USD,59685000000,9589000000,37005000000,22680000000,16586000000,11253000000,4758000000,None,13137000000,None,4952000000,46000000,13091000000,None,697000000,1884000000,901000000,204000000,None,None,None,1884000000,-158000000,None,11253000000,11253000000,None
2020-03-31,USD,58313000000,9517000000,35943000000,22370000000,16678000000,11249000000,4565000000,None,13135000000,None,4952000000,282000000,12853000000,None,757000000,1886000000,1049000000,292000000,None,None,None,1886000000,-10000000,None,11249000000,11249000000,None
2019-12-31,USD,84310000000,8685000000,52279000000,32031000000,28191000000,22236000000,4451000000,None,25918000000,None,4783000000,349000000,25569000000,None,785000000,3682000000,1045000000,260000000,None,None,None,3682000000,89000000,None,22236000000,22236000000,None
2019-09-30,USD,64040000000,8688000000,39727000000,24313000000,20116000000,13686000000,4110000000,None,16127000000,None,4578000000,502000000,15625000000,None,810000000,2441000000,1106000000,296000000,None,None,None,2441000000,206000000,None,13686000000,13686000000,None
2019-06-30,USD,53809000000,8683000000,33582000000,20227000000,15710000000,10044000000,4257000000,None,11911000000,None,4426000000,367000000,11544000000,None,866000000,1867000000,1190000000,324000000,None,None,None,1867000000,43000000,None,10044000000,10044000000,None
2019-03-31,USD,58015000000,8406000000,36194000000,21821000000,17843000000,11561000000,3948000000,None,13793000000,None,4458000000,378000000,13415000000,None,1010000000,2232000000,1358000000,348000000,None,None,None,2232000000,30000000,None,11561000000,11561000000,None
2018-12-31,USD,88293000000,7638000000,54381000000,33912000000,30509000000,19965000000,3902000000,None,23906000000,None,4231000000,560000000,23346000000,-84310000000,-890000000,None,None,None,None,None,None,3941000000,560000000,None,19965000000,19965000000,None
2018-09-30,USD,62900000000,7966000000,38816000000,24084000000,20043000000,14125000000,3750000000,0,16421000000,0,4216000000,303000000,16118000000,0,-868000000,None,None,None,0,0,0,2296000000,303000000,0,14125000000,14125000000,None
2018-06-30,USD,53265000000,7809000000,32844000000,20421000000,16795000000,11519000000,3701000000,0,13284000000,0,4108000000,672000000,12612000000,0,-846000000,None,None,None,0,0,0,1765000000,672000000,0,11519000000,11519000000,None
2018-03-31,USD,61137000000,7528000000,37715000000,23422000000,19699000000,13822000000,3378000000,0,16168000000,0,4150000000,274000000,15894000000,0,-792000000,None,None,None,0,0,0,2346000000,274000000,0,13822000000,13822000000,None
2017-12-31,USD,52579000000,6811000000,32648000000,19931000000,17067000000,20065000000,3407000000,0,27030000000,0,3814000000,756000000,26274000000,0,734000000,None,None,None,0,0,0,6965000000,756000000,0,20065000000,20065000000,None
2017-09-30,USD,52579000000,6811000000,32648000000,19931000000,17067000000,10714000000,2997000000,0,13917000000,0,3814000000,797000000,13120000000,0,666000000,None,None,None,0,0,0,3203000000,2205000000,0,10714000000,10714000000,None
2017-06-30,USD,45408000000,6720000000,27920000000,17488000000,14264000000,8717000000,2937000000,0,11308000000,0,3783000000,540000000,10768000000,0,602000000,None,None,None,0,0,0,2591000000,-47000000,0,8717000000,8717000000,None
2017-03-31,USD,52896000000,6494000000,32305000000,20591000000,17546000000,11029000000,2776000000,0,14684000000,0,3718000000,587000000,14097000000,0,530000000,None,None,None,0,0,0,3655000000,-234000000,0,11029000000,11029000000,None
2016-12-31,USD,78351000000,6817000000,48175000000,30176000000,24180000000,17891000000,2871000000,0,24180000000,0,3946000000,821000000,23359000000,0,525000000,None,None,None,0,0,0,6289000000,821000000,0,17891000000,17891000000,None
2016-09-30,USD,46852000000,6052000000,29039000000,17813000000,12188000000,9014000000,2570000000,0,12188000000,0,3482000000,427000000,11761000000,0,450000000,None,None,None,0,0,0,3174000000,984000000,0,9014000000,9014000000,None
2016-06-30,USD,42358000000,6001000000,26252000000,16106000000,10469000000,7796000000,2560000000,0,10469000000,0,3441000000,364000000,10105000000,0,409000000,None,None,None,0,0,0,2673000000,209000000,0,7796000000,7796000000,None
2016-03-31,USD,50557000000,5934000000,30636000000,19921000000,14142000000,10516000000,2511000000,0,14142000000,0,3423000000,155000000,13987000000,0,321000000,None,None,None,0,0,0,3626000000,-247000000,0,10516000000,10516000000,None
2015-12-31,USD,75872000000,6252000000,45449000000,30423000000,24573000000,18361000000,2404000000,0,24573000000,0,3848000000,402000000,24171000000,0,276000000,None,None,None,0,0,0,6212000000,402000000,0,18361000000,18361000000,None
2015-09-30,USD,51501000000,5925000000,30953000000,20548000000,15062000000,11124000000,2220000000,0,15062000000,0,3705000000,439000000,14623000000,0,238000000,None,None,None,0,0,0,3938000000,895000000,0,11124000000,11124000000,None
