fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-09-30,USD,67056000000,8471000000,55336000000,11720000000,4417000000,1224000000,None,None,1806000000,-5000000,8685000000,-712000000,3249000000,None,731000000,587000000,-731000000,-731000000,None,None,None,587000000,-712000000,None,1219000000,1224000000,None
2020-06-30,USD,65341000000,8668000000,51993000000,13348000000,5827000000,2975000000,None,None,3960000000,11000000,8598000000,45000000,4680000000,None,765000000,974000000,-765000000,-765000000,None,None,None,974000000,229000000,None,2986000000,2975000000,None
2020-03-31,USD,66755000000,8563000000,54734000000,12021000000,4598000000,2007000000,None,None,2779000000,5000000,8494000000,54000000,3458000000,None,733000000,767000000,-733000000,-733000000,None,None,None,767000000,216000000,None,2012000000,2007000000,None
2019-12-31,USD,66889000000,25154000000,55198000000,11691000000,4164000000,1735000000,None,None,2334000000,9000000,8394000000,93000000,3037000000,None,2298000000,590000000,-734000000,-734000000,None,None,None,590000000,-774000000,None,1744000000,1735000000,None
2019-09-30,USD,64810000000,8595000000,53287000000,11523000000,2880000000,1530000000,None,None,2133000000,-1000000,8550000000,-48000000,2928000000,None,747000000,604000000,-747000000,-747000000,None,None,None,604000000,215000000,None,1529000000,1530000000,None
2019-06-30,USD,63431000000,8042000000,52057000000,11374000000,4435000000,1936000000,None,None,2591000000,-5000000,7975000000,31000000,3332000000,None,772000000,660000000,-772000000,-772000000,None,None,None,660000000,31000000,None,1931000000,1936000000,None
2019-03-31,USD,61646000000,-8250000000,50706000000,10940000000,3832000000,1433000000,None,None,1939000000,-6000000,8142000000,-31000000,2690000000,None,-782000000,512000000,-782000000,-782000000,None,None,None,512000000,31000000,None,1427000000,1433000000,None
2018-12-31,USD,54909000000,8841000000,44759000000,10150000000,3870000000,-419000000,0,0,102000000,-2000000,11526000000,11000000,1309000000,-14517000000,1218000000,None,None,None,101000000,2228000000,0,524000000,-2740000000,1000000,-422000000,-419000000,None
2018-09-30,USD,47269000000,4975000000,39941000000,7328000000,3193000000,1390000000,0,0,1899000000,4000000,4975000000,-1000000,2353000000,4905000000,453000000,None,None,None,0,0,0,509000000,-524000000,1000000,1390000000,1390000000,None
2018-06-30,USD,46708000000,8788000000,39507000000,7201000000,3192000000,-2563000000,0,0,-2065000000,4000000,4867000000,-3000000,-1587000000,4828000000,475000000,None,None,None,0,3921000000,0,497000000,-4438000000,-1000000,-2562000000,-2563000000,None
2018-03-31,USD,45693000000,4913000000,38834000000,6859000000,2637000000,998000000,0,0,1470000000,4000000,4784000000,-3000000,1946000000,4828000000,473000000,None,None,None,0,0,0,472000000,-605000000,-1000000,998000000,998000000,None
2017-12-31,USD,48385000000,4796000000,40481000000,7904000000,3734000000,3287000000,0,0,2809000000,4000000,4696000000,-2000000,3108000000,-4828000000,297000000,None,None,None,0,0,0,-478000000,-1779000000,4000000,3287000000,3287000000,None
2017-09-30,USD,46181000000,4627000000,39055000000,7126000000,2927000000,1285000000,0,0,2062000000,5000000,4553000000,-192000000,2499000000,4828000000,245000000,None,None,None,0,0,0,777000000,0,-31000000,1285000000,1285000000,None
2017-06-30,USD,45685000000,4818000000,38750000000,6935000000,2737000000,1098000000,0,0,1863000000,-6000000,4663000000,-7000000,2117000000,0,247000000,None,None,None,0,0,0,766000000,0,1000000,1097000000,1098000000,None
2017-03-31,USD,44514000000,4787000000,37934000000,6580000000,2411000000,952000000,0,0,1534000000,1000000,4564000000,-7000000,1793000000,0,252000000,None,None,None,0,0,0,572000000,0,-9000000,962000000,952000000,None
2016-12-31,USD,45971000000,4611000000,38365000000,7606000000,2995000000,1707000000,0,0,2753000000,3000000,4641000000,None,2995000000,0,242000000,None,None,None,0,0,0,1046000000,-1966000000,-18000000,1707000000,1707000000,None
2016-09-30,USD,44615000000,4675000000,37123000000,7492000000,2716000000,1540000000,0,0,2463000000,1000000,4608000000,-101000000,2817000000,0,253000000,None,None,None,0,0,0,921000000,0,-1000000,1542000000,1540000000,None
2016-06-30,USD,43725000000,4665000000,36710000000,7015000000,1808000000,924000000,0,0,1528000000,-7000000,4583000000,-542000000,2350000000,0,280000000,None,None,None,0,0,0,604000000,0,-9000000,924000000,924000000,None
2016-03-31,USD,43215000000,4568000000,36471000000,6744000000,2176000000,1146000000,0,0,1893000000,1000000,4499000000,None,2176000000,0,283000000,None,None,None,0,0,0,746000000,0,0,1147000000,1146000000,None
2015-12-31,USD,41145000000,4572000000,33844000000,7301000000,2729000000,1498000000,0,0,2452000000,1000000,4409000000,None,2729000000,0,277000000,None,None,None,0,0,0,952000000,-1079000000,-1000000,1500000000,1498000000,None
2015-09-30,USD,38644000000,4330000000,31983000000,6661000000,2331000000,1246000000,0,0,2070000000,1000000,4204000000,None,2331000000,0,261000000,None,None,None,0,0,0,833000000,0,10000000,1237000000,1246000000,None
