fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
12/31/2019,USD,2.94005E+11,128000000,None,11455000000,2.7226E+11,21745000000,281000000,2.20094E+11,15000000,19960000000,385000000,1227000000,580000000,49828000000,2.6483E+11,2.20094E+11,None,88000000,2128000000,71595000000,2.1434E+11,17725000000,61422000000,21767000000,7430000000,None,44736000000,None,None,15000000,2793000000,19960000000,-5767000000,None,4715000000,None,2.2241E+11,None,7430000000,None,7430000000,None,None,None,4656000000,2.94005E+11,49828000000,None,1320000000
12/31/2018,USD,2.96482E+11,152000000,None,6368000000,2.75812E+11,20670000000,250000000,2.31423E+11,15000000,17329000000,189000000,1227000000,470000000,41501000000,2.68934E+11,2.31423E+11,0,-252000000,1769000000,63705000000,2.27735E+11,16650000000,66578000000,22204000000,6826000000,None,37511000000,None,None,15000000,2793000000,17329000000,-3714000000,None,2046000000,None,2.32777E+11,52000000,6878000000,None,6878000000,None,None,None,4499000000,2.96482E+11,41501000000,None,1361000000
12/31/2017,USD,2.43274E+11,108000000,None,8543000000,2.24749E+11,18525000000,0,1.69656E+11,15000000,14408000000,203000000,1227000000,573000000,29356000000,2.19996E+11,15000000000,15000000000,-152000000,1471000000,50581000000,1.87938E+11,14397000000,49995000000,21225000000,4753000000,1.7146E+11,35340000000,0,0,15000000,2793000000,14408000000,-2892000000,None,1949000000,None,1.92693E+11,None,4753000000,None,4753000000,None,None,None,4353000000,2.43274E+11,29356000000,None,1353000000
12/31/2016,USD,2.23383E+11,144000000,None,12627000000,2.06962E+11,16421000000,0,1.63454E+11,15000000,12649000000,228000000,1227000000,299000000,33002000000,2.04086E+11,1.63454E+11,250000000,-163000000,1299000000,50885000000,1.6842E+11,12267000000,77365000000,17883000000,2808000000,1.53017E+11,40632000000,0,0,15000000,2783000000,12649000000,-3130000000,None,1408000000,None,1.72498E+11,68000000,2876000000,None,2876000000,None,None,None,4267000000,2.23383E+11,33002000000,None,1334000000
