fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-10-31,USD,250863000000,None,None,1665000000,142627000000,81431000000,13657000000,2299000000,283000000,92279000000,12935000000,30236000000,9790000000,14325000000,88121000000,4598000000,4598000000,-14616000000,102232000000,73602000000,None,71927000000,None,5770000000,40849000000,51842000000,81224000000,None,None,283000000,None,92279000000,None,None,44793000000,None,177261000000,23031000000,40849000000,None,54506000000,None,None,None,3485000000,250863000000,14325000000,None,None
2020-07-31,USD,237382000000,None,None,1895000000,162072000000,75310000000,12927000000,3670000000,283000000,87614000000,12179000000,29542000000,9381000000,16906000000,81957000000,357000000,5910000000,-15784000000,122894000000,64996000000,None,45768000000,None,5111000000,40959000000,41084000000,46326000000,None,None,283000000,None,87614000000,None,None,19950000000,None,172386000000,22625000000,45632000000,None,74228000000,None,None,None,3197000000,237382000000,16906000000,None,None
2020-04-30,USD,232892000000,None,None,2152000000,138639000000,68240000000,12986000000,2252000000,284000000,81141000000,11831000000,29416000000,9756000000,14930000000,82647000000,10031000000,10031000000,-16168000000,101872000000,63328000000,None,58967000000,None,5029000000,43006000000,41217000000,70364000000,None,None,284000000,None,81141000000,None,None,38276000000,None,169564000000,22395000000,43006000000,None,55992000000,None,None,None,2983000000,232892000000,14930000000,None,2849000000
2020-01-31,USD,236495000000,5200000000,None,1622000000,134465000000,74669000000,12961000000,2304000000,284000000,83943000000,12265000000,31073000000,5377000000,9465000000,77790000000,5937000000,5937000000,-12805000000,105208000000,61806000000,5990000000,64074000000,None,6284000000,43714000000,44435000000,69549000000,None,None,284000000,None,83943000000,None,None,38408000000,None,174689000000,22782000000,43714000000,None,56675000000,None,None,None,3247000000,236495000000,9465000000,None,2868000000
2019-10-31,USD,239830000000,None,None,2148000000,161523000000,71649000000,13018000000,2208000000,284000000,80656000000,12359000000,30716000000,10777000000,8606000000,83784000000,9019000000,9019000000,-12382000000,125425000000,67912000000,5000000000,40933000000,None,5612000000,44912000000,51546000000,49750000000,None,None,284000000,None,80656000000,None,None,15777000000,None,171918000000,22017000000,44912000000,None,77739000000,None,None,None,3091000000,239830000000,8606000000,None,2861000000
2019-07-31,USD,234861000000,None,None,2572000000,157730000000,70327000000,13049000000,2234000000,285000000,78432000000,12429000000,31454000000,11354000000,9283000000,80283000000,8077000000,8077000000,-11270000000,125862000000,61371000000,4820000000,38873000000,None,5382000000,44404000000,44134000000,45871000000,None,None,285000000,None,78432000000,None,None,16174000000,None,173490000000,22228000000,44404000000,None,77447000000,None,None,None,2880000000,234861000000,9283000000,None,2869000000
2019-04-30,USD,234544000000,None,None,2391000000,140105000000,68205000000,12792000000,2183000000,286000000,76276000000,12301000000,31416000000,16148000000,9255000000,79888000000,6292000000,6292000000,-11091000000,104604000000,61739000000,4799000000,56318000000,None,5342000000,47425000000,44751000000,71413000000,None,None,286000000,None,76276000000,None,None,36785000000,None,172805000000,21712000000,47425000000,None,60217000000,None,None,None,2734000000,234544000000,9255000000,None,2886000000
2019-01-31,USD,219295000000,None,None,3623000000,139661000000,72496000000,11981000000,2360000000,288000000,80785000000,11553000000,31181000000,10827000000,7722000000,77477000000,7830000000,7101000000,-11542000000,111395000000,61897000000,3995000000,41315000000,None,6283000000,43520000000,44269000000,69647000000,None,None,288000000,None,80785000000,None,None,14822000000,None,157398000000,6683000000,50203000000,None,62184000000,None,None,None,2965000000,219295000000,7722000000,-81493000000,2945000000
2018-10-31,USD,226583000000,31044000000,None,4107000000,147114000000,71996000000,11467000000,4100000000,291000000,80287000000,10997000000,31044000000,10928000000,9174000000,85751000000,11095000000,2591000000,-11469000000,111349000000,69446000000,3816000000,40952000000,0,5785000000,43275000000,50380000000,74656000000,79469000000,2887000000,291000000,0,80287000000,0,None,14744000000,None,157137000000,6621000000,49896000000,None,61363000000,None,None,None,2887000000,226583000000,9174000000,-80126000000,2941000000
2018-07-31,USD,206062000000,17840000000,None,3543000000,132250000000,71185000000,8999000000,5334000000,294000000,80810000000,8631000000,17840000000,5222000000,15840000000,71683000000,2228000000,1090000000,-12629000000,111017000000,66370000000,5613000000,53345000000,0,5002000000,44958000000,41985000000,69455000000,73812000000,2710000000,294000000,0,80810000000,0,None,10835000000,None,139692000000,6610000000,51568000000,None,60567000000,None,None,None,2710000000,206062000000,15840000000,-78505000000,2946000000
2018-04-30,USD,204927000000,18850000000,None,3486000000,126603000000,75552000000,9541000000,7339000000,294000000,82982000000,9275000000,18850000000,6298000000,7885000000,80757000000,10038000000,1576000000,-10281000000,114800000000,59242000000,5737000000,56702000000,0,4568000000,29477000000,43303000000,70719000000,78324000000,2557000000,294000000,0,82982000000,0,None,12035000000,None,145685000000,6828000000,36305000000,None,45846000000,None,None,None,2557000000,204927000000,7885000000,-79407000000,2967000000
2018-01-31,USD,204522000000,18242000000,None,3511000000,123700000000,77869000000,8354000000,22122000000,295000000,85107000000,4523000000,18242000000,30040000000,6756000000,78521000000,9662000000,3738000000,-10181000000,114818000000,59664000000,2008000000,59627000000,0,5614000000,30045000000,43783000000,68859000000,80822000000,2648000000,295000000,0,85107000000,0,None,11798000000,None,144858000000,6780000000,36825000000,None,45179000000,None,None,None,2648000000,204522000000,6756000000,-77479000000,3010000000
2017-10-31,USD,209414000000,18204000000,None,2330000000,130508000000,76145000000,9167000000,23287000000,297000000,84480000000,9167000000,18204000000,28747000000,7026000000,80435000000,9021000000,3257000000,-11133000000,115299000000,65368000000,None,57941000000,0,5865000000,34206000000,50147000000,71414000000,78906000000,2501000000,297000000,0,84480000000,0,None,10543000000,None,144046000000,6700000000,40906000000,None,50073000000,None,None,None,2501000000,209414000000,7026000000,-76948000000,2996000000
2017-07-31,USD,201566000000,18037000000,None,1457000000,122520000000,76389000000,9240000000,22743000000,299000000,84838000000,9240000000,18037000000,29450000000,6469000000,72811000000,7174000000,47994000000,-11100000000,115353000000,56763000000,None,58352000000,0,5395000000,33706000000,43442000000,65637000000,79046000000,2352000000,299000000,0,84838000000,0,None,11413000000,None,144803000000,6763000000,40469000000,None,49709000000,None,None,None,2352000000,201566000000,6469000000,-75375000000,3021000000
2017-04-30,USD,199718000000,17575000000,None,2178000000,123604000000,73691000000,9386000000,24336000000,302000000,84120000000,9386000000,17575000000,28213000000,6545000000,74193000000,6472000000,6472000000,-12954000000,114169000000,57336000000,None,56116000000,0,5252000000,33774000000,43361000000,67721000000,76114000000,2223000000,302000000,0,84120000000,0,None,10638000000,None,142382000000,6251000000,40025000000,None,49411000000,None,None,None,2223000000,199718000000,6545000000,-73625000000,3047000000
