fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,356900000,169500000,12843800000,106300000,1.595,0.013,0.068,0.082,0.133
2022-06-30,351900000,167300000,13100900000,107800000,1.552,0.013,0.068,0.133,0.177
2022-03-31,346900000,157500000,13438200000,109800000,1.434,0.012,0.072,0.047,0.075
2021-12-31,340276000,330130000,13620100000,110519000,2.987,0.024,0.062,1.099,1.155
2021-09-30,334300000,156600000,13793100000,111283000,1.407,0.011,0.052,-0.084,-0.06
2021-06-30,329400000,147700000,13949500000,112001000,1.319,0.011,0.048,-0.031,-0.005
2021-03-31,323600000,150400000,14111200000,112766000,1.334,0.011,0.035,-0.55,-0.538
2020-12-31,320284000,157314000,14275200000,113470000,1.386,0.011,0.031,0.061,0.091
2020-09-30,317879000,170979000,14436409000,114262000,1.496,0.012,0.031,0.111,0.144
2020-06-30,314365000,152479000,14592929000,115011000,1.326,0.01,0.026,0.034,0.065
2020-03-31,312524000,334116000,14734618000,115701000,2.888,0.023,,,
2019-12-31,310543000,148325000,14990364000,116716000,1.271,0.01,,,
2019-09-30,308421000,153913000,15176668000,117705000,1.308,0.01,,,
2019-06-30,306289000,147534000,15357641000,118548000,1.245,0.01,,,
2021-12-31,1327576000,784830000,13620100000,110519000,7.101,0.058,0.049,-0.037,-0.011
2020-12-31,1265052000,814888000,14275200000,113470000,7.182,0.057,0.027,0.331,0.369
2019-12-31,1231661000,612299000,14990364000,116716000,5.246,0.041,0.014,0.051,0.081
2018-12-31,1214969000,582489000,15707478000,120037000,4.853,0.037,,,
