fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-12-31,1329300000,309400000,5549900000,159100000,1.945,0.056,-0.12,-0.226,-0.2
2022-09-30,1359000000,302200000,5469000000,160200000,1.886,0.055,0.047,-0.074,-0.044
2022-06-30,1232600000,267300000,5294600000,160700000,1.663,0.05,0.104,-0.209,-0.187
2022-03-31,1335600000,305800000,5188600000,161700000,1.891,0.059,0.14,-0.059,-0.039
2021-12-31,1510400000,399900000,5334200000,164500000,2.431,0.075,0.0,-0.215,-0.213
2021-09-30,1297500000,326300000,5297100000,165300000,1.974,0.062,0.356,0.322,0.324
2021-06-30,1116400000,337800000,5002800000,165100000,2.046,0.068,0.515,1.604,1.636
2021-03-31,1171800000,325000000,4712300000,165100000,1.969,0.069,0.53,0.795,0.821
2020-12-31,1510000000,509300000,4414900000,164900000,3.089,0.115,0.685,0.981,1.048
2020-09-30,956800000,246900000,4164200000,165600000,1.491,0.059,0.156,0.172,0.204
2020-06-30,736800000,129700000,4182400000,167100000,0.776,0.031,,,
2020-03-31,766100000,181100000,4142800000,167500000,1.081,0.044,,,
2019-12-31,896100000,257100000,4267300000,170500000,1.508,0.06,,,
2019-09-30,827400000,210600000,4122300000,170100000,1.238,0.051,,,
2022-09-30,5437600000,1275200000,5469000000,160200000,7.96,0.233,0.067,-0.149,-0.122
2021-09-30,5095700000,1498300000,5297100000,165300000,9.064,0.283,0.519,0.839,0.842
2020-09-30,3355700000,814800000,4164200000,165600000,4.92,0.196,-0.006,-0.045,-0.02
2019-09-30,3376800000,853600000,4122300000,170100000,5.018,0.207,,,
