fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,3270804000,234137000,1941145000,110587000,2.117,0.121,0.084,0.043,0.075
2022-06-30,3903406000,396478000,1913867000,111197000,3.566,0.207,0.084,0.071,0.105
2022-03-31,3024132000,187227000,1790022000,112075000,1.671,0.105,0.083,0.032,0.065
2021-12-31,3319284000,221338000,2002665000,113125000,1.957,0.111,0.153,0.629,0.674
2021-09-30,3017926000,224400000,2020753000,113946000,1.969,0.111,0.158,0.177,0.204
2021-06-30,3601559000,370022000,1980113000,114623000,3.228,0.187,0.134,0.093,0.107
2021-03-31,2792336000,181354000,1852299000,115587000,1.569,0.098,0.425,1.165,1.165
2020-12-31,2878265000,135893000,1923840000,116246000,1.169,0.071,0.313,-0.057,-0.042
2020-09-30,2606572000,190610000,1875866000,116497000,1.636,0.102,0.314,0.561,0.587
2020-06-30,3176327000,338678000,1695730000,116180000,2.915,0.2,0.349,0.545,0.592
2020-03-31,1959188000,83777000,1353723000,115592000,0.725,0.062,,,
2019-12-31,2191785000,144179000,1567123000,118165000,1.22,0.092,,,
2019-09-30,1984144000,122133000,1491822000,118480000,1.031,0.082,,,
2019-06-30,2353782000,219210000,1544942000,119723000,1.831,0.142,,,
2021-12-31,12731105000,997114000,2002665000,113125000,8.814,0.498,0.199,0.331,0.368
2020-12-31,10620352000,748958000,1923840000,116246000,6.443,0.389,0.272,0.332,0.354
2019-12-31,8351931000,562354000,1567123000,118165000,4.759,0.359,0.056,0.056,0.089
2018-12-31,7911046000,532357000,1561820000,121828000,4.37,0.341,,,
