fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-12-31,4670000000,1962000000,14577000000,907000000,2.163,0.135,-0.034,-0.082,-0.066
2022-09-30,5241000000,2295000000,14507000000,913000000,2.514,0.158,0.129,0.179,0.192
2022-06-30,5212000000,2291000000,14092000000,920000000,2.49,0.163,0.138,0.186,0.19
2022-03-31,4905000000,2201000000,14017000000,923000000,2.385,0.157,0.144,0.256,0.254
2021-12-31,4832000000,2138000000,13333000000,923000000,2.316,0.16,0.185,0.267,0.264
2021-09-30,4643000000,1947000000,12151000000,923000000,2.109,0.16,0.216,0.439,0.43
2021-06-30,4580000000,1931000000,11153000000,923000000,2.092,0.173,0.414,0.399,0.389
2021-03-31,4289000000,1753000000,10166000000,922000000,1.901,0.172,0.288,0.493,0.508
2020-12-31,4076000000,1688000000,9187000000,921000000,1.833,0.184,0.217,0.578,0.598
2020-09-30,3817000000,1353000000,8325000000,917000000,1.475,0.163,0.012,-0.051,-0.032
2020-06-30,3239000000,1380000000,7644000000,916000000,1.507,0.181,,,
2020-03-31,3329000000,1174000000,7734000000,931000000,1.261,0.152,,,
2019-12-31,3350000000,1070000000,8907000000,933000000,1.147,0.12,,,
2019-09-30,3771000000,1425000000,8985000000,935000000,1.524,0.159,,,
2022-12-31,20028000000,8749000000,14577000000,907000000,9.646,0.6,0.092,0.126,0.146
2021-12-31,18344000000,7769000000,13333000000,923000000,8.417,0.583,0.269,0.389,0.386
2020-12-31,14461000000,5595000000,9187000000,921000000,6.075,0.609,0.005,0.115,0.13
2019-12-31,14383000000,5017000000,8907000000,933000000,5.377,0.563,,,
