fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-12-31,530598000,214971000,-1007925000,79959989,2.688,-0.213,0.041,0.109,0.143
2022-09-30,516477000,216592000,-1077391000,80121138,2.703,-0.201,0.087,0.275,0.312
2022-06-30,510721000,210587000,-1026446000,80496258,2.616,-0.205,0.114,0.273,0.304
2022-03-31,519231000,228423000,-879189000,81168130,2.814,-0.26,0.178,0.161,0.179
2021-12-31,509506000,193865000,-163467000,82439449,2.352,-1.186,0.254,0.241,0.243
2021-09-30,474962000,169876000,-280025000,82446714,2.06,-0.607,0.225,-0.068,-0.062
2021-06-30,458623000,165423000,-367807000,82437837,2.007,-0.45,0.245,0.437,0.458
2021-03-31,440839000,196819000,-481582000,82422314,2.388,-0.409,0.203,0.329,0.349
2020-12-31,406331000,156216000,-443234000,82573407,1.892,-0.352,0.109,0.272,0.307
2020-09-30,387797000,182358000,-386586000,83041856,2.196,-0.472,0.082,0.331,0.358
2020-06-30,368389000,115123000,-310932000,83633414,1.377,-0.37,,,
2020-03-31,366583000,148125000,-354331000,83709132,1.77,-0.418,,,
2019-12-31,366317000,122783000,-76714000,84794930,1.448,-1.601,,,
2019-09-30,358329000,136983000,-147856000,84707245,1.617,-0.926,,,
2022-12-31,2077027000,870573000,-1007925000,79959989,10.888,-0.864,0.138,0.199,0.236
2021-12-31,1824827000,725983000,-163467000,82439449,8.806,-4.441,0.221,0.206,0.208
2020-12-31,1494136000,601822000,-443234000,82573407,7.288,-1.358,0.073,0.068,0.096
2019-12-31,1392961000,563648000,-76714000,84794930,6.647,-7.347,,,
