fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,520783000,122311000,5967745000,115447252,1.059,0.02,0.151,0.448,0.444
2022-06-30,495040000,210702000,5983274000,115438832,1.825,0.035,0.133,-0.027,-0.031
2022-03-31,476078000,110802000,5919947000,115337466,0.961,0.019,0.12,1.348,1.329
2021-12-31,463575000,185641000,5965177000,115336876,1.61,0.031,0.094,1.227,1.209
2021-09-30,452575000,84479000,5897148000,115138323,0.734,0.014,0.069,0.41,0.401
2021-06-30,436927000,216478000,5918715000,114919922,1.884,0.037,0.058,1.884,1.87
2021-03-31,425005000,47193000,5804716000,114408949,0.412,0.008,0.017,0.288,0.286
2020-12-31,423661000,83342000,5871633000,114373727,0.729,0.014,0.016,-0.443,-0.443
2020-09-30,423199000,59910000,5904072000,114369812,0.524,0.01,0.018,-0.238,-0.24
2020-06-30,413026000,75062000,5954834000,114365203,0.656,0.013,0.014,0.212,0.209
2020-03-31,418098000,36648000,5997419000,114279662,0.321,0.006,,,
2019-12-31,416817000,149589000,6068565000,114246393,1.309,0.025,,,
2019-09-30,415632000,78645000,6016452000,114065859,0.689,0.013,,,
2019-06-30,407390000,61917000,6051466000,114043089,0.543,0.01,,,
2021-12-31,1778082000,533791000,5965177000,115336876,4.628,0.089,0.06,1.094,1.076
2020-12-31,1677984000,254962000,5871633000,114373727,2.229,0.043,0.023,-0.279,-0.28
2019-12-31,1641017000,353811000,6068565000,114246393,3.097,0.058,0.044,0.587,0.582
2018-12-31,1571346000,222899000,6149840000,113844267,1.958,0.036,,,
