fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,879111000,108154000,4233184000,157876611,0.685,0.026,0.044,-0.396,-0.378
2022-06-30,900400000,119537000,4280478000,159469828,0.75,0.028,0.079,-0.236,-0.219
2022-03-31,900952000,119163000,4300522000,160535769,0.742,0.028,0.092,-0.235,-0.222
2021-12-31,908074000,160534000,4530014000,160512111,1.0,0.035,0.073,0.416,0.435
2021-09-30,842189000,178916000,4582445000,162424440,1.102,0.039,0.086,0.128,0.131
2021-06-30,834787000,156497000,4476657000,163018768,0.96,0.035,0.074,-0.033,-0.036
2021-03-31,824874000,155695000,4321363000,163245941,0.954,0.036,0.104,0.264,0.256
2020-12-31,846287000,113370000,4251296000,162709720,0.697,0.027,0.096,-0.048,-0.052
2020-09-30,775521000,158623000,4107617000,162799784,0.974,0.039,0.11,0.15,0.142
2020-06-30,777466000,161915000,3904295000,162630477,0.996,0.041,0.115,0.421,0.428
2020-03-31,747097000,123146000,3672218000,162176589,0.759,0.034,,,
2019-12-31,772123000,119100000,3657958000,162000843,0.735,0.033,,,
2019-09-30,698624000,137890000,3501600000,161659502,0.853,0.039,,,
2019-06-30,697547000,113915000,3394764000,163359091,0.697,0.034,,,
2021-12-31,3409924000,651642000,4530014000,160512111,4.06,0.144,0.082,0.17,0.186
2020-12-31,3151093000,557054000,4251296000,162709720,3.424,0.131,0.106,0.165,0.16
2019-12-31,2849372000,478035000,3657958000,162000843,2.951,0.131,0.065,0.602,0.611
2018-12-31,2675072000,298373000,3191860000,162904550,1.832,0.093,,,
