fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,1076000000,297000000,7758000000,182000000,1.632,0.038,-0.016,0.068,0.068
2022-06-30,930000000,218000000,7570000000,182000000,1.198,0.029,-0.061,0.053,0.053
2022-03-31,838000000,158000000,7460000000,182000000,0.868,0.021,-0.046,0.188,0.181
2021-12-31,1714000000,645000000,7298000000,182000000,3.544,0.088,0.785,3.448,3.424
2021-09-30,1094000000,278000000,6866000000,182000000,1.527,0.04,0.019,0.053,0.047
2021-06-30,990000000,207000000,6690000000,182000000,1.137,0.031,0.09,0.176,0.17
2021-03-31,878000000,133000000,6583000000,181000000,0.735,0.02,0.04,0.073,0.073
2020-12-31,960000000,145000000,6454000000,181000000,0.801,0.022,0.069,0.48,0.48
2020-09-30,1074000000,264000000,6512000000,181000000,1.459,0.041,0.06,0.1,0.1
2020-06-30,908000000,176000000,6338000000,181000000,0.972,0.028,0.029,0.035,0.035
2020-03-31,844000000,124000000,6243000000,181000000,0.685,0.02,,,
2019-12-31,898000000,98000000,6121000000,181000000,0.541,0.016,,,
2019-09-30,1013000000,240000000,6190000000,181000000,1.326,0.039,,,
2019-06-30,882000000,170000000,6027000000,181000000,0.939,0.028,,,
2021-12-31,4677000000,1263000000,7298000000,182000000,6.94,0.173,0.238,0.781,0.772
2020-12-31,3777000000,709000000,6454000000,181000000,3.917,0.11,0.047,0.142,0.142
2019-12-31,3606000000,621000000,6121000000,181000000,3.431,0.101,0.049,0.095,0.107
2018-12-31,3436000000,567000000,5864000000,183000000,3.098,0.097,,,
