fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,993582000,96473000,2626853000,50877000,1.896,0.037,0.122,-0.067,-0.075
2022-06-30,983328000,109321000,2647706000,50861000,2.149,0.041,0.086,0.236,0.225
2022-03-31,897464000,93022000,2610184000,50800000,1.831,0.036,0.194,0.512,0.494
2021-12-31,917648000,137578000,2534820000,50480000,2.725,0.054,0.16,-0.039,-0.053
2021-09-30,885303000,103426000,2426566000,50460000,2.05,0.043,0.221,0.005,-0.009
2021-06-30,905297000,88448000,2318440000,50391000,1.755,0.038,0.365,0.312,0.293
2021-03-31,751595000,61530000,2183927000,50216000,1.225,0.028,0.104,0.212,0.194
2020-12-31,790990000,143191000,2114602000,49767000,2.877,0.068,0.144,0.782,0.752
2020-09-30,724873000,102909000,1896940000,49736000,2.069,0.054,0.094,0.413,0.388
2020-06-30,663422000,67435000,1752641000,49659000,1.358,0.038,0.042,0.542,0.515
2020-03-31,680543000,50769000,1651984000,49486000,1.026,0.031,,,
2019-12-31,691138000,80348000,1634584000,48936000,1.642,0.049,,,
2019-09-30,662636000,72810000,1532313000,48837000,1.491,0.048,,,
2019-06-30,636778000,43728000,1455066000,48799000,0.896,0.03,,,
2021-12-31,3457220000,390982000,2534820000,50480000,7.745,0.154,0.176,0.073,0.058
2020-12-31,2939573000,364304000,2114602000,49767000,7.32,0.172,0.138,0.446,0.421
2019-12-31,2582044000,252019000,1634584000,48936000,5.15,0.154,0.164,0.113,0.097
2018-12-31,2218252000,226373000,1317332000,48209000,4.696,0.172,,,
