fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,3917000000,426000000,2308000000,50800000,8.386,0.185,0.169,0.434,0.463
2022-06-30,3815000000,371000000,2201000000,51000000,7.275,0.169,0.198,0.649,0.688
2022-03-31,3624000000,366000000,2081000000,51100000,7.162,0.176,0.183,0.538,0.574
2021-12-31,3339000000,283000000,1874000000,51300000,5.517,0.151,0.135,0.685,0.747
2021-09-30,3350000000,297000000,1827000000,51800000,5.734,0.163,0.119,0.238,0.281
2021-06-30,3185000000,225000000,1868000000,52200000,4.31,0.12,0.134,0.974,1.023
2021-03-31,3063000000,238000000,1816000000,52300000,4.551,0.131,0.028,0.376,0.41
2020-12-31,2941000000,168000000,1828000000,53200000,3.158,0.092,0.033,0.631,0.653
2020-09-30,2995000000,240000000,2131000000,53600000,4.478,0.113,0.024,0.03,0.04
2020-06-30,2809000000,114000000,1929000000,53500000,2.131,0.059,-0.022,-0.562,-0.548
2020-03-31,2980000000,173000000,1810000000,53600000,3.228,0.096,,,
2019-12-31,2847000000,103000000,1855000000,53911903,1.911,0.056,,,
2019-09-30,2926000000,233000000,1871000000,54125184,4.305,0.125,,,
2019-06-30,2871000000,260000000,1923000000,55139799,4.715,0.135,,,
2021-12-31,12937000000,1043000000,1874000000,51300000,20.331,0.557,0.115,0.501,0.556
2020-12-31,11598000000,695000000,1828000000,53200000,13.064,0.38,0.016,-0.181,-0.17
2019-12-31,11413000000,849000000,1855000000,53911903,15.748,0.458,0.023,0.086,0.125
2018-12-31,11158000000,782000000,1921000000,55883169,13.993,0.407,,,
