fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-12-31,3671200000,591100000,7236100000,284500000,2.078,0.082,0.091,-0.097,-0.09
2022-09-30,3720700000,347100000,7062600000,284800000,1.219,0.049,0.112,0.07,0.076
2022-06-30,3638500000,308300000,7093400000,285000000,1.082,0.043,0.131,-0.008,-0.004
2022-03-31,3323700000,171900000,7081600000,285700000,0.602,0.024,0.135,-0.112,-0.111
2021-12-31,3364600000,654800000,7224200000,286900000,2.282,0.091,0.098,-0.041,-0.045
2021-09-30,3345800000,324500000,6933500000,286600000,1.132,0.047,0.129,0.302,0.296
2021-06-30,3216600000,310800000,6709100000,286100000,1.086,0.046,0.196,1.153,1.153
2021-03-31,2928500000,193600000,6292300000,285900000,0.677,0.031,-0.195,-0.317,-0.309
2020-12-31,3065300000,682900000,6166500000,285700000,2.39,0.111,-0.198,0.59,0.605
2020-09-30,2964500000,249300000,6014700000,285400000,0.874,0.041,-0.213,-0.463,-0.458
2020-06-30,2689300000,-2029900000,5855200000,285400000,-7.112,-0.347,,,
2020-03-31,3637100000,283400000,8822100000,289200000,0.98,0.032,,,
2019-12-31,3823600000,429600000,8685300000,288400000,1.49,0.049,,,
2019-09-30,3764900000,464200000,8567700000,288200000,1.611,0.054,,,
2022-12-31,14402400000,1108900000,7236100000,284500000,3.898,0.153,0.118,-0.031,-0.023
2021-12-31,12885600000,1144000000,7224200000,286900000,3.987,0.158,0.095,1.965,1.961
2020-12-31,11764600000,-1185500000,6166500000,285700000,-4.149,-0.192,-0.223,-1.76,-1.768
2019-12-31,15132300000,1558900000,8685300000,288400000,5.405,0.179,,,
