fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-12-31,27996000000,518000000,17149000000,1374000000,0.377,0.03,0.109,-0.608,-0.605
2022-09-03,21971000000,2702000000,18977000000,1380000000,1.958,0.142,0.088,0.215,0.217
2022-06-11,20225000000,1429000000,18553000000,1382000000,1.034,0.077,0.052,-0.394,-0.394
2022-03-19,16200000000,4261000000,18202000000,1383000000,3.081,0.234,0.093,1.486,1.481
2021-12-31,25248000000,1322000000,16043000000,1385000000,0.955,0.082,0.124,-0.283,-0.287
2021-09-04,20189000000,2224000000,15872000000,1382000000,1.609,0.14,0.116,-0.029,-0.028
2021-06-12,19217000000,2358000000,15299000000,1382000000,1.706,0.154,0.205,0.433,0.438
2021-03-20,14820000000,1714000000,13947000000,1380000000,1.242,0.123,0.068,0.281,0.29
2020-12-31,22455000000,1845000000,13454000000,1379000000,1.338,0.137,0.088,0.045,0.055
2020-09-05,18091000000,2291000000,13483000000,1384000000,1.655,0.17,0.053,0.091,0.101
2020-06-13,15945000000,1646000000,12491000000,1387000000,1.187,0.132,,,
2020-03-21,13881000000,1338000000,13465000000,1390000000,0.963,0.099,,,
2019-12-31,20640000000,1766000000,14786000000,1393000000,1.268,0.119,,,
2019-09-07,17188000000,2100000000,14129000000,1397000000,1.503,0.149,,,
2022-12-31,86392000000,8910000000,17149000000,1374000000,6.485,0.52,0.087,0.17,0.179
2021-12-31,79474000000,7618000000,16043000000,1385000000,5.5,0.475,0.129,0.07,0.065
2020-12-31,70372000000,7120000000,13454000000,1379000000,5.163,0.529,0.048,-0.027,-0.017
2019-12-31,67161000000,7314000000,14786000000,1393000000,5.251,0.495,,,
