fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,927600000,161100000,4310600000,283300000,0.569,0.037,0.204,0.1,0.097
2022-06-30,839700000,145200000,4283400000,282200000,0.515,0.034,0.155,0.042,0.04
2022-03-31,904700000,220300000,4335400000,283100000,0.778,0.051,0.11,0.103,0.099
2021-12-31,738498000,101704000,4196900000,282496000,0.36,0.024,0.15,0.045,0.047
2021-09-30,770300000,146400000,4107800000,282432000,0.518,0.036,0.143,0.093,0.098
2021-06-30,727300000,139300000,3946000000,281621000,0.495,0.035,0.215,0.439,0.45
2021-03-31,815300000,199700000,3831000000,281980000,0.708,0.052,0.167,0.31,0.317
2020-12-31,642111000,97320000,3754200000,283004000,0.344,0.026,0.109,0.272,0.266
2020-09-30,673962000,133979000,3702010000,283745000,0.472,0.036,0.089,0.16,0.155
2020-06-30,598806000,96784000,3583518000,283658000,0.341,0.027,0.041,0.045,0.004
2020-03-31,698495000,152400000,3479841000,283441000,0.538,0.044,,,
2019-12-31,578989000,76519000,3350279000,281655000,0.272,0.023,,,
2019-09-30,618683000,115506000,3314523000,282498000,0.409,0.035,,,
2019-06-30,575219000,92593000,3180631000,272563000,0.34,0.029,,,
2021-12-31,3051398000,587104000,4196900000,282496000,2.078,0.14,0.168,0.222,0.224
2020-12-31,2613375000,480483000,3754200000,283004000,1.698,0.128,0.092,0.206,0.2
2019-12-31,2392171000,398514000,3350279000,281655000,1.415,0.119,0.188,0.158,0.149
2018-12-31,2014246000,344255000,3000568000,279583006,1.231,0.115,,,
