fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-12-31,4031000000,190000000,20687000000,354962058,0.535,0.009,0.18,-0.152,-0.154
2022-09-30,4165000000,613000000,20748000000,354600000,1.729,0.03,0.153,0.139,0.136
2022-06-30,3415000000,255000000,20387000000,354300000,0.72,0.013,0.149,0.545,0.507
2022-03-31,4060000000,602000000,20378000000,354100000,1.7,0.03,0.104,0.437,0.388
2021-12-31,3415000000,224000000,20037000000,353983712,0.633,0.011,0.154,4.209,4.037
2021-09-30,3613000000,538000000,20037000000,353400000,1.522,0.027,0.084,0.091,0.033
2021-06-30,2971000000,165000000,19743000000,345400000,0.478,0.008,0.093,-0.132,-0.16
2021-03-31,3677000000,419000000,19033000000,342200000,1.224,0.022,0.137,0.117,0.089
2020-12-31,2960000000,43000000,18847000000,342297534,0.126,0.002,0.003,-0.854,-0.858
2020-09-30,3333000000,493000000,18494000000,334500000,1.474,0.027,-0.01,0.042,0.035
2020-06-30,2719000000,190000000,18225000000,334100000,0.569,0.01,,,
2020-03-31,3234000000,375000000,18261000000,333600000,1.124,0.021,,,
2019-12-31,2951000000,295000000,18022000000,332629597,0.887,0.016,,,
2019-09-30,3365000000,473000000,17959000000,332200000,1.424,0.026,,,
2022-12-31,15670000000,1660000000,20687000000,354962058,4.677,0.08,0.146,0.233,0.23
2021-12-31,13676000000,1346000000,20037000000,353983712,3.802,0.067,0.117,0.223,0.182
2020-12-31,12246000000,1101000000,18847000000,342297534,3.216,0.058,-0.026,-0.18,-0.203
2019-12-31,12574000000,1343000000,18022000000,332629597,4.038,0.075,,,
