fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-12-31,7852053000,55284000,20777401000,445346776,0.124,0.003,0.019,-0.909,-0.909
2022-09-30,7925589000,1398242000,20528141000,445020494,3.142,0.068,0.059,-0.035,-0.04
2022-06-30,7970141000,1440951000,19075974000,444705591,3.24,0.076,0.086,0.065,0.06
2022-03-31,7867767000,1597447000,17544039000,444273850,3.596,0.091,0.098,-0.064,-0.066
2021-12-31,7709318000,607429000,15849248000,443963107,1.368,0.038,0.16,0.12,0.118
2021-09-30,7483467000,1449071000,15314617000,442952194,3.271,0.095,0.163,0.834,0.83
2021-06-30,7341777000,1353013000,13863871000,442595888,3.057,0.098,0.194,0.879,0.872
2021-03-31,7163282000,1706715000,12884080000,443383732,3.849,0.132,0.242,1.407,1.387
2020-12-31,6644442000,542156000,11065240000,442895261,1.224,0.049,0.215,-0.076,-0.085
2020-09-30,6435637000,789976000,10333323000,441795008,1.788,0.076,0.227,0.187,0.178
2020-06-30,6148286000,720196000,9334753000,441015443,1.633,0.077,,,
2020-03-31,5767691000,709067000,8409294000,439780618,1.612,0.084,,,
2019-12-31,5467434000,586970000,7582157000,438806649,1.338,0.077,,,
2019-09-30,5244905000,665244000,6861505000,438251289,1.518,0.097,,,
2022-12-31,31615550000,4491924000,20777401000,445346776,10.086,0.216,0.065,-0.122,-0.125
2021-12-31,29697844000,5116228000,15849248000,443963107,11.524,0.323,0.188,0.853,0.848
2020-12-31,24996056000,2761395000,11065240000,442895261,6.235,0.25,0.24,0.479,0.465
2019-12-31,20156447000,1866916000,7582157000,438806649,4.255,0.246,,,
