fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-12-31,1690700000,245600000,3163200000,570811674,0.43,0.078,0.105,0.062,0.071
2022-09-30,1799400000,284600000,3161200000,572754406,0.497,0.09,0.16,0.169,0.174
2022-06-30,1777000000,287100000,3178700000,574676079,0.5,0.09,0.181,0.198,0.198
2022-03-31,1698200000,269600000,3142000000,575601845,0.468,0.086,0.2,0.28,0.278
2021-12-31,1529500000,231200000,3042200000,575464682,0.402,0.076,0.126,0.179,0.176
2021-09-30,1551800000,243500000,2964700000,575163289,0.423,0.082,0.099,0.099,0.097
2021-06-30,1505100000,239700000,2880800000,574704880,0.417,0.083,-0.001,0.003,0.001
2021-03-31,1415200000,210600000,2786700000,574424155,0.367,0.076,0.037,0.039,0.037
2020-12-31,1358000000,196100000,2733200000,574159575,0.342,0.072,0.064,0.097,0.097
2020-09-30,1411700000,221500000,2885600000,574049821,0.386,0.077,0.026,0.037,0.037
2020-06-30,1506300000,238900000,2783000000,573570647,0.417,0.086,,,
2020-03-31,1365200000,202600000,2656600000,572817649,0.354,0.076,,,
2019-12-31,1276900000,178700000,2665600000,574128911,0.311,0.067,,,
2019-09-30,1375500000,213500000,2585700000,573526178,0.372,0.083,,,
2022-12-31,6965200000,1086900000,3163200000,570811674,1.904,0.344,0.16,0.175,0.185
2021-12-31,6002300000,925000000,3042200000,575464682,1.607,0.304,0.064,0.077,0.074
2020-12-31,5639000000,859100000,2733200000,574159575,1.496,0.314,0.06,0.086,0.086
2019-12-31,5321000000,790900000,2665600000,574128911,1.378,0.297,,,
