fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-12-31,4527880000,395237000,9322380000,128313322,3.08,0.042,0.203,0.02,0.021
2022-09-30,4455977000,387854000,8762521000,128425002,3.02,0.044,0.199,-0.14,-0.138
2022-06-30,4184459000,128831000,8848011000,128510428,1.002,0.015,0.074,-0.745,-0.744
2022-03-31,4023115000,348017000,8959866000,128426675,2.71,0.039,0.092,-0.264,-0.261
2021-12-31,3763220000,387600000,8755082000,128493725,3.016,0.044,0.124,-0.135,-0.132
2021-09-30,3716959000,451157000,8490781000,128726721,3.505,0.053,0.165,0.411,0.411
2021-06-30,3897203000,505738000,8398307000,129192428,3.915,0.06,0.233,0.71,0.701
2021-03-31,3682496000,473153000,7392202000,129085563,3.665,0.064,0.03,0.27,0.262
2020-12-31,3348915000,448351000,7105982000,129013781,3.475,0.063,-0.019,1.22,1.21
2020-09-30,3189935000,319803000,6528964000,128707745,2.485,0.049,-0.026,-0.054,-0.055
2020-06-30,3160603000,295716000,6227224000,128523333,2.301,0.047,,,
2020-03-31,3573667000,372596000,6295990000,128289720,2.904,0.059,,,
2019-12-31,3415083000,201925000,6330175000,128396933,1.573,0.032,,,
2019-09-30,3276056000,337951000,6096616000,128463992,2.631,0.055,,,
2022-06-30,15709477000,1315605000,8848011000,128510428,10.237,0.149,0.104,-0.247,-0.243
2021-06-30,14233884000,1746100000,8398307000,129192428,13.515,0.208,0.064,0.453,0.445
2020-06-30,13372227000,1201970000,6227224000,128523333,9.352,0.193,-0.053,-0.212,-0.211
2019-06-30,14113353000,1524516000,5961969000,128561495,11.858,0.256,,,
