fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,2709000000,301000000,5384000000,121000000,2.488,0.056,-0.004,-0.142,-0.041
2022-06-30,2784000000,256000000,5323000000,124800000,2.051,0.048,0.049,2.753,2.909
2022-03-31,2714000000,235000000,5893000000,129000000,1.822,0.04,0.127,-0.142,-0.095
2021-12-31,2694000000,378000000,5704000000,221809309,1.704,0.066,0.232,10.812,10.75
2021-09-30,2720000000,351000000,6120000000,135300000,2.594,0.057,0.282,1.18,1.18
2021-06-30,2653000000,-146000000,5944000000,135900000,-1.074,-0.025,0.379,-6.407,-6.384
2021-03-31,2409000000,274000000,6233000000,136100000,2.013,0.044,0.075,0.062,0.061
2020-12-31,2186000000,32000000,6023000000,220641506,0.145,0.005,-0.009,0.231,0.225
2020-09-30,2122000000,161000000,6075000000,135300000,1.19,0.027,-0.087,-0.395,-0.388
2020-06-30,1924000000,27000000,6021000000,135300000,0.2,0.004,-0.186,-0.895,-0.893
2020-03-31,2241000000,258000000,6117000000,136000000,1.897,0.042,,,
2019-12-31,2205000000,26000000,5958000000,219638646,0.118,0.004,,,
2019-09-30,2325000000,266000000,6020000000,136800000,1.944,0.044,,,
2019-06-30,2363000000,258000000,5869000000,137800000,1.872,0.044,,,
2021-12-31,10476000000,857000000,5704000000,221809309,3.864,0.15,0.236,0.793,0.783
2020-12-31,8473000000,478000000,6023000000,220641506,2.166,0.079,-0.086,-0.37,-0.373
2019-12-31,9273000000,759000000,5958000000,219638646,3.456,0.127,-0.086,-0.297,-0.299
2018-12-31,10151000000,1080000000,5803000000,219140523,4.928,0.186,,,
