fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-12-31,808300000,91800000,2131800000,386300000,0.238,0.043,0.226,18.321,5.349
2022-09-30,765000000,101200000,1824500000,386200000,0.262,0.055,0.225,0.159,-0.709
2022-06-30,691500000,50900000,2255900000,392600000,0.13,0.023,0.213,-0.351,-0.84
2022-03-31,624400000,97300000,2189300000,98100000,0.992,0.044,0.3,0.722,0.698
2021-12-31,659400000,-5300000,2042100000,97000000,-0.055,-0.003,0.239,-1.013,-1.013
2021-09-30,624300000,87300000,1912000000,96900000,0.901,0.046,0.312,0.209,0.198
2021-06-30,569900000,78400000,1754700000,96700000,0.811,0.045,0.337,0.693,0.671
2021-03-31,480200000,56500000,1644800000,96700000,0.584,0.034,0.232,1.839,1.71
2020-12-31,532100000,411300000,1551900000,96100000,4.28,0.265,0.15,3.437,3.229
2020-09-30,476000000,72200000,1499300000,96000000,0.752,0.048,0.249,0.576,0.503
2020-06-30,426100000,46300000,1353900000,95400000,0.485,0.034,,,
2020-03-31,389700000,19900000,934500000,92300000,0.216,0.021,,,
2019-12-31,462800000,92700000,882600000,91600000,1.012,0.105,,,
2019-09-30,381200000,45800000,764300000,91500000,0.501,0.06,,,
2022-12-31,2889200000,341200000,2131800000,386300000,0.883,0.16,0.238,0.573,-0.605
2021-12-31,2333800000,216900000,2042100000,97000000,2.236,0.106,0.281,-0.605,-0.609
2020-12-31,1822500000,549700000,1551900000,96100000,5.72,0.354,0.305,4.437,4.183
2019-12-31,1396800000,101100000,882600000,91600000,1.104,0.115,,,
