fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,3454000000,283000000,5347000000,185800000,1.523,0.053,0.047,0.084,0.115
2022-06-30,3447000000,256000000,5352000000,186600000,1.372,0.048,0.031,0.463,0.502
2022-03-31,3482000000,325000000,5919000000,189300000,1.717,0.055,0.06,0.533,0.552
2021-12-31,3542000000,318000000,6042000000,190600000,1.668,0.053,0.074,1.672,1.681
2021-09-30,3298000000,261000000,5829000000,191100000,1.366,0.045,0.228,1.584,1.592
2021-06-30,3344000000,175000000,5760000000,191600000,0.913,0.03,0.393,8.609,8.597
2021-03-31,3286000000,212000000,5953000000,191600000,1.106,0.036,0.241,1.585,1.577
2020-12-31,3298000000,119000000,6001000000,191200000,0.622,0.02,0.139,6.438,6.48
2020-09-30,2686000000,101000000,5846000000,191700000,0.527,0.017,0.021,0.772,0.798
2020-06-30,2401000000,-23000000,5591000000,191300000,-0.12,-0.004,-0.086,-1.383,-1.393
2020-03-31,2648000000,82000000,5542000000,191000000,0.429,0.015,,,
2019-12-31,2895000000,16000000,6003000000,192300000,0.083,0.003,,,
2019-09-30,2631000000,57000000,6131000000,194500000,0.293,0.009,,,
2019-06-30,2626000000,60000000,6523000000,196200000,0.306,0.009,,,
2021-12-31,13470000000,966000000,6042000000,190600000,5.068,0.16,0.232,2.462,2.473
2020-12-31,10935000000,279000000,6001000000,191200000,1.459,0.046,0.03,0.461,0.469
2019-12-31,10616000000,191000000,6003000000,192300000,0.993,0.032,0.062,-0.263,-0.243
2018-12-31,9996000000,259000000,6714000000,197500000,1.311,0.039,,,
