fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-12-31,8695000000,583000000,26883000000,1369000000,0.426,0.022,0.135,-0.419,-0.408
2022-09-30,7763000000,532000000,26641000000,1372000000,0.388,0.02,0.081,-0.577,-0.569
2022-06-30,7274000000,747000000,27511000000,1382000000,0.541,0.027,0.095,-0.307,-0.295
2022-03-31,7764000000,855000000,28161000000,1389000000,0.616,0.03,0.073,-0.11,-0.096
2021-12-31,7658000000,1003000000,28269000000,1394000000,0.72,0.035,0.049,-0.132,-0.111
2021-09-30,7182000000,1258000000,27698000000,1399000000,0.899,0.045,0.078,0.124,0.151
2021-06-30,6642000000,1078000000,27543000000,1407000000,0.766,0.039,0.124,0.982,1.015
2021-03-31,7238000000,961000000,27075000000,1412000000,0.681,0.035,0.079,0.306,0.326
2020-12-31,7298000000,1156000000,27578000000,1429000000,0.809,0.042,0.056,0.577,0.59
2020-09-30,6665000000,1119000000,26943000000,1432000000,0.781,0.042,0.049,-0.215,-0.208
2020-06-30,5911000000,544000000,26018000000,1431000000,0.38,0.021,,,
2020-03-31,6707000000,736000000,25674000000,1434000000,0.513,0.029,,,
2019-12-31,6913000000,733000000,27241000000,1441000000,0.509,0.027,,,
2019-09-30,6355000000,1426000000,26806000000,1445000000,0.987,0.053,,,
2022-12-31,31496000000,2717000000,26883000000,1369000000,1.985,0.101,0.097,-0.368,-0.357
2021-12-31,28720000000,4300000000,28269000000,1394000000,3.085,0.152,0.08,0.21,0.24
2020-12-31,26581000000,3555000000,27578000000,1429000000,2.488,0.129,0.028,-0.095,-0.088
2019-12-31,25868000000,3929000000,27241000000,1441000000,2.727,0.144,,,
