fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,6069000000,277000000,10924000000,593000000,0.467,0.025,0.327,-0.379,-0.38
2022-06-30,6603000000,760000000,11120000000,593000000,1.282,0.068,0.693,1.184,1.177
2022-03-31,4610000000,-278000000,10417000000,592000000,-0.47,-0.027,1.365,-3.397,-3.393
2021-12-31,4958000000,68000000,10414000000,595000000,0.114,0.007,1.463,1.075,1.075
2021-09-30,4573000000,446000000,10250000000,592000000,0.753,0.044,1.55,1.385,1.384
2021-06-30,3900000000,348000000,9688000000,591000000,0.589,0.036,2.869,1.38,1.362
2021-03-31,1949000000,116000000,9093000000,591000000,0.196,0.013,-0.54,2.234,2.075
2020-12-31,2013000000,-908000000,8876000000,592000000,-1.534,-0.102,-0.649,-2.767,-2.57
2020-09-30,1793000000,-1157000000,9769000000,590000000,-1.961,-0.118,-0.682,-2.756,-2.586
2020-06-30,1008000000,-915000000,10878000000,563000000,-1.625,-0.084,-0.829,-2.235,-2.189
2020-03-31,4234000000,-94000000,9075000000,515000000,-0.183,-0.01,,,
2019-12-31,5729000000,514000000,9832000000,526000000,0.977,0.052,,,
2019-09-30,5639000000,659000000,9931000000,533000000,1.236,0.066,,,
2019-06-30,5909000000,741000000,9940000000,542000000,1.367,0.075,,,
2021-12-31,15381000000,977000000,10414000000,595000000,1.642,0.094,0.7,1.318,1.316
2020-12-31,9048000000,-3074000000,8876000000,592000000,-5.193,-0.346,-0.597,-2.337,-2.188
2019-12-31,22426000000,2300000000,9832000000,526000000,4.373,0.234,0.021,-0.067,-0.01
2018-12-31,21965000000,2465000000,9853000000,558000000,4.418,0.25,,,
