fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-12-31,322054000,97643000,-802095000,25155000,3.882,-0.122,0.038,0.149,0.211
2022-09-30,329825000,90699000,-801947000,25154000,3.606,-0.113,0.018,0.058,0.16
2022-06-30,330245000,93500000,-847472000,25252000,3.703,-0.11,-0.216,-0.382,-0.305
2022-03-31,339984000,104383000,-663416000,25982000,4.018,-0.157,0.058,0.52,0.687
2021-12-31,310115000,84959000,-538299000,26509000,3.205,-0.158,0.0,-0.018,0.083
2021-09-30,323861000,85720000,-110942000,27568000,3.109,-0.773,-0.135,0.45,0.53
2021-06-30,420971000,151198000,124838000,28386000,5.326,1.211,0.342,1.36,1.411
2021-03-31,321418000,68674000,223303000,28829000,2.382,0.308,0.044,0.178,0.189
2020-12-31,310045000,86492000,324121000,29236000,2.958,0.267,0.039,0.575,0.572
2020-09-30,374356000,59126000,331082000,29096000,2.032,0.179,0.226,0.083,0.078
2020-06-30,313731000,64076000,247286000,28999000,2.21,0.259,,,
2020-03-31,307971000,58288000,214151000,29082000,2.004,0.272,,,
2019-12-31,298504000,54921000,240961000,29186000,1.882,0.228,,,
2019-09-30,305344000,54584000,289767000,28944000,1.886,0.188,,,
2022-09-30,1310010000,373541000,-801947000,25154000,14.85,-0.466,-0.048,-0.047,0.044
2021-09-30,1376250000,392084000,-110942000,27568000,14.222,-3.534,0.063,0.658,0.75
2020-09-30,1294562000,236411000,331082000,29096000,8.125,0.714,0.116,0.231,0.224
2019-09-30,1160083000,192124000,289767000,28944000,6.638,0.663,,,
