fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,2088300000,177100000,6855700000,132900000,1.333,0.026,0.377,0.001,-0.0
2022-06-30,1954300000,187300000,6721100000,132900000,1.409,0.028,0.436,-0.041,-0.043
2022-03-31,1540700000,91800000,6575300000,132900000,0.691,0.014,0.442,-0.428,-0.429
2021-12-31,1606300000,137900000,6545000000,132700000,1.039,0.021,0.367,0.204,0.203
2021-09-30,1516500000,176900000,6426100000,132704000,1.333,0.028,0.158,-0.115,-0.116
2021-06-30,1361000000,195300000,6293100000,132678000,1.472,0.031,0.029,-0.07,-0.071
2021-03-31,1068300000,160600000,6136200000,132664000,1.211,0.026,0.018,1.665,1.661
2020-12-31,1175119000,114518000,6027300000,132516000,0.864,0.019,-0.009,-0.188,-0.189
2020-09-30,1309890000,199788000,5928352000,132454000,1.508,0.034,-0.077,-0.074,-0.075
2020-06-30,1322575000,209916000,5764151000,132446000,1.585,0.036,-0.004,0.063,0.061
2020-03-31,1049242000,60258000,5590326000,132433000,0.455,0.011,,,
2019-12-31,1186152000,141092000,5621857000,132371000,1.066,0.025,,,
2019-09-30,1418758000,215713000,5542239000,132350000,1.63,0.039,,,
2019-06-30,1327682000,197558000,5371447000,132231000,1.494,0.037,,,
2021-12-31,5552200000,670800000,6545000000,132700000,5.055,0.102,0.143,0.148,0.146
2020-12-31,4856800000,584500000,6027300000,132516000,4.411,0.097,-0.015,-0.054,-0.055
2019-12-31,4929100000,617700000,5621857000,132371000,4.666,0.11,0.125,0.198,0.192
2018-12-31,4382869000,515805000,5202903000,131762000,3.915,0.099,,,
