fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,9390000000,2746000000,28720000000,908077761,3.024,0.096,0.383,2.316,2.956
2022-06-30,10676000000,3755000000,27830000000,928963512,4.042,0.135,0.792,35.456,41.499
2022-03-31,8349000000,4876000000,24907000000,937190982,5.203,0.196,0.577,34.397,39.58
2021-12-31,7913000000,1537000000,20327000000,1083423000,1.419,0.076,0.902,2.382,2.379
2021-09-30,6792000000,828000000,18873000000,1083180911,0.764,0.044,0.653,1.232,1.231
2021-06-30,5958000000,103000000,18244000000,1082934567,0.095,0.006,1.035,1.012,1.012
2021-03-31,5293000000,-146000000,18300000000,1082618615,-0.135,-0.008,-0.2,0.935,0.937
2020-12-31,4160000000,-1112000000,18573000000,1080565000,-1.029,-0.06,-0.372,0.17,0.197
2020-09-30,4108000000,-3575000000,19860000000,1079959455,-3.31,-0.18,-0.299,-2.92,-2.788
2020-06-30,2928000000,-8353000000,23346000000,1066776168,-7.83,-0.358,-0.338,-14.154,-12.057
2020-03-31,6613000000,-2232000000,31295000000,1048430898,-2.129,-0.071,,,
2019-12-31,6628000000,-1339000000,34232000000,1044435000,-1.282,-0.039,,,
2019-09-30,5859000000,-912000000,36080000000,1043640621,-0.874,-0.025,,,
2019-06-30,4420000000,635000000,21347000000,896720621,0.708,0.03,,,
2021-12-31,25956000000,2322000000,20327000000,1083423000,2.143,0.114,0.457,1.157,1.156
2020-12-31,17809000000,-14831000000,18573000000,1080565000,-13.725,-0.799,-0.148,-14.057,-13.553
2019-12-31,20911000000,-985000000,34232000000,1044435000,-0.943,-0.029,0.173,-1.238,-1.204
2018-12-31,17824000000,4131000000,21330000000,895116000,4.615,0.194,,,
